bench,depth,contexts,memory_ratio_not_grouped_over_grouped,cell,status
basic,1,1,0.9975327925593284,1x,exact
basic,1,2,1.0001242478567245,1x,exact
basic,1,3,0.9994857836922504,1x,exact
basic,1,5,0.9995569182780072,1x,exact
basic,1,10,1.0049719496955678,1x,exact
basic,2,1,0.9983509322552331,1x,exact
basic,2,2,0.9995835769850974,1x,exact
basic,2,3,1.0024080172810652,1x,exact
basic,2,5,1.0110533389926428,1x,exact
basic,2,10,1.060339304364616,1.1x,exact
basic,3,1,1.0011352147152208,1x,exact
basic,3,2,1.0021697737235975,1x,exact
basic,3,3,1.0147520540554882,1x,exact
basic,3,5,1.0679632905406589,1.1x,exact
basic,3,10,1.5996005143175993,1.6x,exact
basic,4,1,0.9987162802227475,1x,exact
basic,4,2,1.007609838876466,1x,exact
basic,4,3,1.0454477447744774,1x,exact
basic,4,5,1.341525402403939,1.3x,exact
basic,4,10,,-,one_oot
collections,1,1,0.9965955635938082,1x,exact
collections,1,2,0.9976578718572011,1x,exact
collections,1,3,0.9989719319702569,1x,exact
collections,1,5,0.9999290824150984,1x,exact
collections,1,10,1.0044876854717835,1x,exact
collections,2,1,0.9985445767735752,1x,exact
collections,2,2,0.9986092163775845,1x,exact
collections,2,3,1.0009479092841955,1x,exact
collections,2,5,1.0130326924780721,1x,exact
collections,2,10,1.06095936923986,1.1x,exact
collections,3,1,1.0005053191489361,1x,exact
collections,3,2,1.0046270032619486,1x,exact
collections,3,3,1.0156919446834556,1x,exact
collections,3,5,1.0680625964293586,1.1x,exact
collections,3,10,1.6176095564056103,1.6x,exact
collections,4,1,0.9994947122075758,1x,exact
collections,4,2,1.0090739281698993,1x,exact
collections,4,3,1.0440151715621417,1x,exact
collections,4,5,1.3394701046273878,1.3x,exact
collections,4,10,,-,one_oot
cornerCases,1,1,0.9975049058346135,1x,exact
cornerCases,1,2,1.000221699995566,1x,exact
cornerCases,1,3,0.9984935888915473,1x,exact
cornerCases,1,5,1.000017729239061,1x,exact
cornerCases,1,10,1.0031530095298828,1x,exact
cornerCases,2,1,0.9971635480468369,1x,exact
cornerCases,2,2,1.0002568212612581,1x,exact
cornerCases,2,3,1.0007257279405257,1x,exact
cornerCases,2,5,1.0107314143385828,1x,exact
cornerCases,2,10,1.0585998951232303,1.1x,exact
cornerCases,3,1,0.9994503204986125,1x,exact
cornerCases,3,2,1.0007255160454067,1x,exact
cornerCases,3,3,1.012911191463092,1x,exact
cornerCases,3,5,1.0570044129099248,1.1x,exact
cornerCases,3,10,1.480075466114235,1.5x,exact
cornerCases,4,1,0.9992289079741551,1x,exact
cornerCases,4,2,1.0087305020259356,1x,exact
cornerCases,4,3,1.0385292477166561,1x,exact
cornerCases,4,5,1.2718997340718479,1.3x,exact
cornerCases,4,10,,-,one_oot
generalJava,1,1,0.9965137321694699,1x,exact
generalJava,1,2,0.999645132099576,1x,exact
generalJava,1,3,0.999600674416541,1x,exact
generalJava,1,5,0.9998492226095131,1x,exact
generalJava,1,10,1.0043498290189408,1x,exact
generalJava,2,1,0.9991929762327066,1x,exact
generalJava,2,2,1.000026591737061,1x,exact
generalJava,2,3,1.0016570962710902,1x,exact
generalJava,2,5,1.0097647266937908,1x,exact
generalJava,2,10,1.0588753745813502,1.1x,exact
generalJava,3,1,0.999060450274774,1x,exact
generalJava,3,2,1.0015860498498126,1x,exact
generalJava,3,3,1.012893298668223,1x,exact
generalJava,3,5,1.0686140886188369,1.1x,exact
generalJava,3,10,1.6124502652519894,1.6x,exact
generalJava,4,1,0.9991495016611296,1x,exact
generalJava,4,2,1.0109993352537114,1x,exact
generalJava,4,3,1.0444922350120749,1x,exact
generalJava,4,5,1.345646078189055,1.3x,exact
generalJava,4,10,,-,one_oot
reactor,1,1,0.9965707236842105,1x,exact
reactor,1,2,0.997575737854284,1x,exact
reactor,1,3,0.9989396909038332,1x,exact
reactor,1,5,0.9910570629676492,0.99x,exact
reactor,1,10,1.006485853482768,1x,exact
reactor,2,1,0.9970603167324479,1x,exact
reactor,2,2,0.9945409154829433,0.99x,exact
reactor,2,3,0.98740922626822,0.99x,exact
reactor,2,5,0.9541912543501286,0.95x,exact
reactor,2,10,1.0186348180177154,1x,exact
reactor,3,1,0.9938309886738258,0.99x,exact
reactor,3,2,0.9911459117602771,0.99x,exact
reactor,3,3,0.9623668522198496,0.96x,exact
reactor,3,5,1.0078598498812912,1x,exact
reactor,3,10,1.20440715605847,1.2x,exact
reactor,4,1,1.0014143577752888,1x,exact
reactor,4,2,0.982202813768101,0.98x,exact
reactor,4,3,1.0078974763973148,1x,exact
reactor,4,5,1.1288707974887469,1.1x,exact
reactor,4,10,,-,one_oot
org_jivesoftware_openfire,1,1,0.9616257537628793,0.96x,exact
org_jivesoftware_openfire,1,2,1.0091901707928188,1x,exact
org_jivesoftware_openfire,1,3,1.0243273537634074,1x,exact
org_jivesoftware_openfire,1,5,1.0733765856170927,1.1x,exact
org_jivesoftware_openfire,1,10,1.0816380909435626,1.1x,exact
org_jivesoftware_openfire,2,1,0.9781153389659556,0.98x,exact
org_jivesoftware_openfire,2,2,0.9883615986084787,0.99x,exact
org_jivesoftware_openfire,2,3,0.9746721886466653,0.97x,exact
org_jivesoftware_openfire,2,5,0.9630389369619501,0.96x,exact
org_jivesoftware_openfire,2,10,1.0239643858322276,1x,exact
org_jivesoftware_openfire,3,1,0.9828262024980069,0.98x,exact
org_jivesoftware_openfire,3,2,1.0031793777653417,1x,exact
org_jivesoftware_openfire,3,3,0.9941451022221468,0.99x,exact
org_jivesoftware_openfire,3,5,1.050647218789368,1.1x,exact
org_jivesoftware_openfire,3,10,,-,one_oot
org_jivesoftware_openfire,4,1,0.9574676697598988,0.96x,exact
org_jivesoftware_openfire,4,2,1.0002884515227837,1x,exact
org_jivesoftware_openfire,4,3,1.0336863918712171,1x,exact
org_jivesoftware_openfire,4,5,,-,one_oot
org_jivesoftware_openfire,4,10,,OOM,oom
com_fasterxml_jackson,1,1,1.009595077028635,1x,exact
com_fasterxml_jackson,1,2,1.0002792045107456,1x,exact
com_fasterxml_jackson,1,3,1.0877113607749263,1.1x,exact
com_fasterxml_jackson,1,5,1.0565103119878791,1.1x,exact
com_fasterxml_jackson,1,10,0.9959409266049277,1x,exact
com_fasterxml_jackson,2,1,1.0117863961292832,1x,exact
com_fasterxml_jackson,2,2,0.9758311122203045,0.98x,exact
com_fasterxml_jackson,2,3,0.9963878791897908,1x,exact
com_fasterxml_jackson,2,5,1.0429013270608458,1x,exact
com_fasterxml_jackson,2,10,1.0090601457555068,1x,exact
com_fasterxml_jackson,3,1,0.9695087429252578,0.97x,exact
com_fasterxml_jackson,3,2,0.970446159133742,0.97x,exact
com_fasterxml_jackson,3,3,1.0184828469689482,1x,exact
com_fasterxml_jackson,3,5,1.0008898583486254,1x,exact
com_fasterxml_jackson,3,10,,OOM,oom
com_fasterxml_jackson,4,1,0.9723475684930917,0.97x,exact
com_fasterxml_jackson,4,2,1.0213837206985796,1x,exact
com_fasterxml_jackson,4,3,1.0136989293604806,1x,exact
com_fasterxml_jackson,4,5,,OOM,oom
com_fasterxml_jackson,4,10,,OOM,oom
org_apache_jackrabbit,1,1,0.9709377426999184,0.97x,exact
org_apache_jackrabbit,1,2,0.831097885523116,0.83x,exact
org_apache_jackrabbit,1,3,0.7706657256472472,0.77x,exact
org_apache_jackrabbit,1,5,0.6601958964972339,0.66x,exact
org_apache_jackrabbit,1,10,0.5263386510223168,0.53x,exact
org_apache_jackrabbit,2,1,0.9886759112209086,0.99x,exact
org_apache_jackrabbit,2,2,0.6908628040638088,0.69x,exact
