bench,depth,contexts,ram_kb_last2_mean,cell
basic,1,1,225356.0,220MiB
basic,1,2,225356.0,220MiB
basic,1,3,225586.0,220MiB
basic,1,5,225692.0,220MiB
basic,1,10,225666.0,220MiB
basic,2,1,225582.0,220MiB
basic,2,2,225732.0,220MiB
basic,2,3,225912.0,221MiB
basic,2,5,226176.0,221MiB
basic,2,10,227878.0,223MiB
basic,3,1,225508.0,220MiB
basic,3,2,225830.0,221MiB
basic,3,3,226138.0,221MiB
basic,3,5,228388.0,223MiB
basic,3,10,247318.0,242MiB
basic,4,1,225906.0,221MiB
basic,4,2,226286.0,221MiB
basic,4,3,227250.0,222MiB
basic,4,5,238442.0,233MiB
basic,4,10,456356.0,446MiB
collections,1,1,225588.0,220MiB
collections,1,2,225436.0,220MiB
collections,1,3,225666.0,220MiB
collections,1,5,225614.0,220MiB
collections,1,10,225506.0,220MiB
collections,2,1,225364.0,220MiB
collections,2,2,225772.0,220MiB
collections,2,3,225760.0,220MiB
collections,2,5,225740.0,220MiB
collections,2,10,226774.0,221MiB
collections,3,1,225600.0,220MiB
collections,3,2,225632.0,220MiB
collections,3,3,225466.0,220MiB
collections,3,5,226850.0,222MiB
collections,3,10,238416.0,233MiB
collections,4,1,225614.0,220MiB
collections,4,2,225922.0,221MiB
collections,4,3,226740.0,221MiB
collections,4,5,233782.0,228MiB
collections,4,10,348746.0,341MiB
cornerCases,1,1,225242.0,220MiB
cornerCases,1,2,225530.0,220MiB
cornerCases,1,3,225702.0,220MiB
cornerCases,1,5,225616.0,220MiB
cornerCases,1,10,225816.0,221MiB
cornerCases,2,1,225634.0,220MiB
cornerCases,2,2,225838.0,221MiB
cornerCases,2,3,225980.0,221MiB
cornerCases,2,5,226438.0,221MiB
cornerCases,2,10,228840.0,223MiB
cornerCases,3,1,225586.0,220MiB
cornerCases,3,2,226046.0,221MiB
cornerCases,3,3,226780.0,221MiB
cornerCases,3,5,231140.0,226MiB
cornerCases,3,10,270320.0,264MiB
cornerCases,4,1,225654.0,220MiB
cornerCases,4,2,226562.0,221MiB
cornerCases,4,3,229488.0,224MiB
cornerCases,4,5,254204.0,248MiB
cornerCases,4,10,533688.0,521MiB
generalJava,1,1,225456.0,220MiB
generalJava,1,2,225436.0,220MiB
generalJava,1,3,225380.0,220MiB
generalJava,1,5,225498.0,220MiB
generalJava,1,10,225756.0,220MiB
generalJava,2,1,225520.0,220MiB
generalJava,2,2,225634.0,220MiB
generalJava,2,3,225696.0,220MiB
generalJava,2,5,226120.0,221MiB
generalJava,2,10,226920.0,222MiB
generalJava,3,1,225640.0,220MiB
generalJava,3,2,225718.0,220MiB
generalJava,3,3,226164.0,221MiB
generalJava,3,5,227446.0,222MiB
generalJava,3,10,241280.0,236MiB
generalJava,4,1,225750.0,220MiB
generalJava,4,2,225650.0,220MiB
generalJava,4,3,226916.0,222MiB
generalJava,4,5,234662.0,229MiB
generalJava,4,10,373768.0,365MiB
reactor,1,1,243200.0,238MiB
reactor,1,2,245848.0,240MiB
reactor,1,3,248984.0,243MiB
reactor,1,5,256068.0,250MiB
reactor,1,10,266426.0,260MiB
reactor,2,1,244244.0,239MiB
reactor,2,2,253156.0,247MiB
reactor,2,3,267974.0,262MiB
reactor,2,5,317232.0,310MiB
reactor,2,10,476420.0,465MiB
reactor,3,1,245096.0,239MiB
reactor,3,2,265640.0,259MiB
reactor,3,3,324076.0,316MiB
reactor,3,5,542504.0,530MiB
reactor,3,10,2190256.0,2.1GiB
reactor,4,1,244634.0,239MiB
reactor,4,2,291282.0,284MiB
reactor,4,3,445712.0,435MiB
reactor,4,5,1555558.0,1.5GiB
reactor,4,10,18477672.0,18GiB
org_jivesoftware_openfire,1,1,421220.0,411MiB
org_jivesoftware_openfire,1,2,435030.0,425MiB
org_jivesoftware_openfire,1,3,451426.0,441MiB
org_jivesoftware_openfire,1,5,481516.0,470MiB
org_jivesoftware_openfire,1,10,585462.0,572MiB
org_jivesoftware_openfire,2,1,426326.0,416MiB
org_jivesoftware_openfire,2,2,487524.0,476MiB
org_jivesoftware_openfire,2,3,593024.0,579MiB
org_jivesoftware_openfire,2,5,901868.0,881MiB
org_jivesoftware_openfire,2,10,2208110.0,2.1GiB
org_jivesoftware_openfire,3,1,421456.0,412MiB
org_jivesoftware_openfire,3,2,571810.0,558MiB
org_jivesoftware_openfire,3,3,943142.0,921MiB
org_jivesoftware_openfire,3,5,2671894.0,2.5GiB
org_jivesoftware_openfire,3,10,18890590.0,18GiB
org_jivesoftware_openfire,4,1,430402.0,420MiB
org_jivesoftware_openfire,4,2,748826.0,731MiB
org_jivesoftware_openfire,4,3,1936034.0,1.8GiB
org_jivesoftware_openfire,4,5,11938344.0,11GiB
org_jivesoftware_openfire,4,10,,OOM
com_fasterxml_jackson,1,1,932770.0,911MiB
com_fasterxml_jackson,1,2,1067318.0,1.0GiB
com_fasterxml_jackson,1,3,1078606.0,1.0GiB
com_fasterxml_jackson,1,5,1293640.0,1.2GiB
com_fasterxml_jackson,1,10,1844756.0,1.8GiB
com_fasterxml_jackson,2,1,1007772.0,984MiB
com_fasterxml_jackson,2,2,1426462.0,1.4GiB
com_fasterxml_jackson,2,3,1930168.0,1.8GiB
com_fasterxml_jackson,2,5,3537140.0,3.4GiB
com_fasterxml_jackson,2,10,11407322.0,11GiB
com_fasterxml_jackson,3,1,1105694.0,1.1GiB
com_fasterxml_jackson,3,2,2118168.0,2.0GiB
com_fasterxml_jackson,3,3,4265252.0,4.1GiB
com_fasterxml_jackson,3,5,15290074.0,15GiB
com_fasterxml_jackson,3,10,,OOM
com_fasterxml_jackson,4,1,1159898.0,1.1GiB
com_fasterxml_jackson,4,2,3312894.0,3.2GiB
com_fasterxml_jackson,4,3,11353588.0,11GiB
com_fasterxml_jackson,4,5,,OOM
com_fasterxml_jackson,4,10,,OOM
org_apache_jackrabbit,1,1,1506490.0,1.4GiB
org_apache_jackrabbit,1,2,1882546.0,1.8GiB
org_apache_jackrabbit,1,3,2193366.0,2.1GiB
org_apache_jackrabbit,1,5,3157790.0,3.0GiB
org_apache_jackrabbit,1,10,5295032.0,5.0GiB
org_apache_jackrabbit,2,1,1632096.0,1.6GiB
org_apache_jackrabbit,2,2,3137746.0,3.0GiB
org_apache_jackrabbit,2,3,5423788.0,5.2GiB
org_apache_jackrabbit,2,5,14626500.0,14GiB
org_apache_jackrabbit,2,10,,OOM
org_apache_jackrabbit,3,1,1946122.0,1.9GiB
org_apache_jackrabbit,3,2,5465406.0,5.2GiB
org_apache_jackrabbit,3,3,15774520.0,15GiB
org_apache_jackrabbit,3,5,,OOT
org_apache_jackrabbit,3,10,,OOM
org_apache_jackrabbit,4,1,2090310.0,2.0GiB
org_apache_jackrabbit,4,2,10093118.0,9.6GiB
org_apache_jackrabbit,4,3,,OOM
org_apache_jackrabbit,4,5,,OOM
org_apache_jackrabbit,4,10,,OOM
