bench,depth,contexts,speedup_not_grouped_over_grouped,cell,status
basic,1,1,0.8162347028871607,0.82x,exact
basic,1,2,1.1818974026387545,1.2x,exact
basic,1,3,1.5823840312315482,1.6x,exact
basic,1,5,3.1842530098351896,3.2x,exact
basic,1,10,7.70360871942006,7.7x,exact
basic,2,1,0.9603322739749832,0.96x,exact
basic,2,2,1.6991639633746196,1.7x,exact
basic,2,3,3.041785194175691,3x,exact
basic,2,5,9.288774894155575,9.3x,exact
basic,2,10,47.35617203024498,47.4x,exact
basic,3,1,0.7832898831632094,0.78x,exact
basic,3,2,2.2693925269672004,2.3x,exact
basic,3,3,6.041682981894683,6x,exact
basic,3,5,31.215644225609996,31.2x,exact
basic,3,10,222.8603117882788,223x,exact
basic,4,1,0.8026677288788694,0.8x,exact
basic,4,2,3.7259064245979547,3.7x,exact
basic,4,3,14.842444733341608,14.8x,exact
basic,4,5,97.4943230541516,97.5x,exact
basic,4,10,167.63311764186705,168x+,lower_bound
collections,1,1,0.8466221040092812,0.85x,exact
collections,1,2,1.1988292530253488,1.2x,exact
collections,1,3,1.7632394211203128,1.8x,exact
collections,1,5,3.308314940323964,3.3x,exact
collections,1,10,8.083923585039498,8.1x,exact
collections,2,1,0.9412543438689395,0.94x,exact
collections,2,2,1.5704577619971132,1.6x,exact
collections,2,3,3.3221331533666927,3.3x,exact
collections,2,5,9.300219843828266,9.3x,exact
collections,2,10,49.75511212059259,49.8x,exact
collections,3,1,0.7548436287629918,0.75x,exact
collections,3,2,2.2466208075205203,2.2x,exact
collections,3,3,6.410570610200753,6.4x,exact
collections,3,5,29.457856418491147,29.5x,exact
collections,3,10,243.1551427137118,243x,exact
collections,4,1,0.8018117783018298,0.8x,exact
collections,4,2,3.2975958751144945,3.3x,exact
collections,4,3,15.488990257916813,15.5x,exact
collections,4,5,104.36611181939215,104x,exact
collections,4,10,196.43249472756227,196x+,lower_bound
cornerCases,1,1,0.8544267925230895,0.85x,exact
cornerCases,1,2,1.1656651496500083,1.2x,exact
cornerCases,1,3,1.5786530971227544,1.6x,exact
cornerCases,1,5,2.8532602421219098,2.9x,exact
cornerCases,1,10,7.242867860476291,7.2x,exact
cornerCases,2,1,0.9041845877934314,0.9x,exact
cornerCases,2,2,1.5699416529363819,1.6x,exact
cornerCases,2,3,3.0713589199420164,3.1x,exact
cornerCases,2,5,8.952291316312493,9x,exact
cornerCases,2,10,40.74306779070274,40.7x,exact
cornerCases,3,1,0.7964174417297157,0.8x,exact
cornerCases,3,2,2.287262634472016,2.3x,exact
cornerCases,3,3,6.393218444420775,6.4x,exact
cornerCases,3,5,30.026633744559017,30.0x,exact
cornerCases,3,10,235.12721888548856,235x,exact
cornerCases,4,1,0.7963389403616083,0.8x,exact
cornerCases,4,2,3.702328479458096,3.7x,exact
cornerCases,4,3,15.36047349144748,15.4x,exact
cornerCases,4,5,91.81358292283048,91.8x,exact
cornerCases,4,10,151.83994238979577,152x+,lower_bound
generalJava,1,1,0.8040555409806448,0.8x,exact
generalJava,1,2,1.140716781540002,1.1x,exact
generalJava,1,3,1.7970857949034476,1.8x,exact
generalJava,1,5,3.044492289107329,3x,exact
generalJava,1,10,7.934560159206292,7.9x,exact
generalJava,2,1,0.8800436398289445,0.88x,exact
generalJava,2,2,1.6609942543235112,1.7x,exact
generalJava,2,3,3.291554408798728,3.3x,exact
generalJava,2,5,9.620095675385654,9.6x,exact
generalJava,2,10,34.502143951922434,34.5x,exact
generalJava,3,1,0.7933716518606243,0.79x,exact
generalJava,3,2,2.2891720892426406,2.3x,exact
generalJava,3,3,6.473004086794957,6.5x,exact
generalJava,3,5,30.363839927034164,30.4x,exact
generalJava,3,10,258.56553675833743,259x,exact
generalJava,4,1,0.798085637204366,0.8x,exact
generalJava,4,2,3.5313229568967452,3.5x,exact
generalJava,4,3,16.29011229795852,16.3x,exact
generalJava,4,5,100.37739967754982,100x,exact
generalJava,4,10,199.46373370303613,199x+,lower_bound
reactor,1,1,0.9033922771444013,0.9x,exact
reactor,1,2,1.1420577462708486,1.1x,exact
reactor,1,3,1.5946882394433868,1.6x,exact
reactor,1,5,2.5439065135755508,2.5x,exact
reactor,1,10,5.966224038632906,6x,exact
reactor,2,1,0.91373125997937,0.91x,exact
reactor,2,2,1.5150484568277416,1.5x,exact
reactor,2,3,2.5958371399707607,2.6x,exact
