bench,depth,contexts,total_contexts,time_sec,time_cell,ram_kb_last2_mean,memory_cell
basic,1,1,1,0.1891992886861165,189ms,225356.0,220MiB
basic,1,2,2,0.23711562156677238,237ms,225356.0,220MiB
basic,2,1,2,0.2341368198394775,234ms,225582.0,220MiB
basic,1,3,3,0.24819342295328775,248ms,225586.0,220MiB
basic,3,1,3,0.28639992078145343,286ms,225508.0,220MiB
basic,4,1,4,0.3166308403015136,317ms,225906.0,221MiB
basic,1,5,5,0.23796955744425455,238ms,225692.0,220MiB
basic,2,2,6,0.3071168263753255,307ms,225732.0,220MiB
basic,1,10,10,0.23173348108927405,232ms,225666.0,220MiB
basic,2,3,12,0.3099113305409749,310ms,225912.0,221MiB
basic,3,2,14,0.3710886637369792,371ms,225830.0,221MiB
basic,2,5,30,0.31026832262674964,310ms,226176.0,221MiB
basic,4,2,30,0.43221839269002277,432ms,226286.0,221MiB
basic,3,3,39,0.39861710866292316,399ms,226138.0,221MiB
basic,2,10,110,0.3389863967895508,339ms,227878.0,223MiB
basic,4,3,120,0.4744393825531006,474ms,227250.0,222MiB
basic,3,5,155,0.4093910853068034,409ms,228388.0,223MiB
basic,4,5,780,0.6512370904286703,651ms,238442.0,233MiB
basic,3,10,1110,0.6701868375142416,670ms,247318.0,242MiB
basic,4,10,11110,3.5792450110117593,3.6s,456356.0,446MiB
collections,1,1,1,0.16385841369628903,164ms,225588.0,220MiB
collections,1,2,2,0.20618534088134757,206ms,225436.0,220MiB
collections,2,1,2,0.22283808390299473,223ms,225364.0,220MiB
collections,1,3,3,0.20437693595886228,204ms,225666.0,220MiB
collections,3,1,3,0.27162965138753253,272ms,225600.0,220MiB
collections,4,1,4,0.2963928381601969,296ms,225614.0,220MiB
collections,1,5,5,0.2037626107533773,204ms,225614.0,220MiB
collections,2,2,6,0.29357051849365234,294ms,225772.0,220MiB
collections,1,10,10,0.206709623336792,207ms,225506.0,220MiB
collections,2,3,12,0.2896881103515625,290ms,225760.0,220MiB
collections,3,2,14,0.35750166575113934,358ms,225632.0,220MiB
collections,2,5,30,0.3058986663818359,306ms,225740.0,220MiB
collections,4,2,30,0.46332518259684247,463ms,225922.0,221MiB
collections,3,3,39,0.3777066071828206,378ms,225466.0,220MiB
collections,2,10,110,0.31875451405843097,319ms,226774.0,221MiB
collections,4,3,120,0.46088480949401855,461ms,226740.0,221MiB
collections,3,5,155,0.41988992691040034,420ms,226850.0,222MiB
collections,4,5,780,0.5857114791870117,586ms,233782.0,228MiB
collections,3,10,1110,0.6025268236796061,603ms,238416.0,233MiB
collections,4,10,11110,3.0544844468434653,3.1s,348746.0,341MiB
cornerCases,1,1,1,0.19336040814717606,193ms,225242.0,220MiB
cornerCases,1,2,2,0.24080832799275712,241ms,225530.0,220MiB
cornerCases,2,1,2,0.24691430727640787,247ms,225634.0,220MiB
cornerCases,1,3,3,0.2390942573547363,239ms,225702.0,220MiB
cornerCases,3,1,3,0.2770557403564453,277ms,225586.0,220MiB
cornerCases,4,1,4,0.31805992126464844,318ms,225654.0,220MiB
cornerCases,1,5,5,0.23680178324381507,237ms,225616.0,220MiB
cornerCases,2,2,6,0.3138620853424072,314ms,225838.0,221MiB
cornerCases,1,10,10,0.24215793609619138,242ms,225816.0,221MiB
cornerCases,2,3,12,0.309539000193278,310ms,225980.0,221MiB
cornerCases,3,2,14,0.37529929478963214,375ms,226046.0,221MiB
cornerCases,2,5,30,0.3160578409830728,316ms,226438.0,221MiB
cornerCases,4,2,30,0.4443761507670085,444ms,226562.0,221MiB
cornerCases,3,3,39,0.38947534561157227,389ms,226780.0,221MiB
cornerCases,2,10,110,0.36482810974121094,365ms,228840.0,223MiB
cornerCases,4,3,120,0.4650765260060628,465ms,229488.0,224MiB
cornerCases,3,5,155,0.414107879002889,414ms,231140.0,226MiB
cornerCases,4,5,780,0.675530751546224,676ms,254204.0,248MiB
cornerCases,3,10,1110,0.7183773517608643,718ms,270320.0,264MiB
cornerCases,4,10,11110,3.9515294233957925,4s,533688.0,521MiB
generalJava,1,1,1,0.16539907455444333,165ms,225456.0,220MiB
generalJava,1,2,2,0.20383628209431962,204ms,225436.0,220MiB
generalJava,2,1,2,0.233174721399943,233ms,225520.0,220MiB
generalJava,1,3,3,0.1982863744099935,198ms,225380.0,220MiB
generalJava,3,1,3,0.2498347759246826,250ms,225640.0,220MiB
generalJava,4,1,4,0.28815698623657227,288ms,225750.0,220MiB
generalJava,1,5,5,0.1957836151123047,196ms,225498.0,220MiB
generalJava,2,2,6,0.2787792682647705,279ms,225634.0,220MiB
generalJava,1,10,10,0.1973564624786376,197ms,225756.0,220MiB
generalJava,2,3,12,0.28934470812479657,289ms,225696.0,220MiB
generalJava,3,2,14,0.3406403064727783,341ms,225718.0,220MiB
generalJava,2,5,30,0.28527879714965815,285ms,226120.0,221MiB
generalJava,4,2,30,0.40998999277750653,410ms,225650.0,220MiB
generalJava,3,3,39,0.3572860558827718,357ms,226164.0,221MiB
generalJava,2,10,110,0.2756961981455485,276ms,226920.0,222MiB
generalJava,4,3,120,0.41434915860493976,414ms,226916.0,222MiB
generalJava,3,5,155,0.38199687004089355,382ms,227446.0,222MiB
generalJava,4,5,780,0.5737717946370443,574ms,234662.0,229MiB
generalJava,3,10,1110,0.6076251665751139,608ms,241280.0,236MiB
generalJava,4,10,11110,3.008065621058146,3s,373768.0,365MiB
reactor,1,1,1,0.725460926691691,725ms,243200.0,238MiB
reactor,1,2,2,0.9454041322072348,945ms,245848.0,240MiB
reactor,2,1,2,0.8998998006184896,900ms,244244.0,239MiB
reactor,1,3,3,0.9469695885976156,947ms,248984.0,243MiB
reactor,3,1,3,1.1855119069417317,1.2s,245096.0,239MiB
reactor,4,1,4,1.6942514578501384,1.7s,244634.0,239MiB
reactor,1,5,5,1.0422640641530354,1s,256068.0,250MiB
reactor,2,2,6,1.7774647076924641,1.8s,253156.0,247MiB
reactor,1,10,10,1.1393201351165771,1.1s,266426.0,260MiB
reactor,2,3,12,1.4144468307495117,1.4s,267974.0,262MiB
reactor,3,2,14,2.176372448603312,2.2s,265640.0,259MiB
reactor,2,5,30,1.9639721711476643,2s,317232.0,310MiB
reactor,4,2,30,3.3301382064819336,3.3s,291282.0,284MiB
reactor,3,3,39,2.447053909301758,2.4s,324076.0,316MiB
reactor,2,10,110,3.193483511606852,3.2s,476420.0,465MiB
reactor,4,3,120,3.706787109375,3.7s,445712.0,435MiB
reactor,3,5,155,4.524299065272014,4.5s,542504.0,530MiB
reactor,4,5,780,15.37272079785665,15.4s,1555558.0,1.5GiB
reactor,3,10,1110,24.52934916814168,24.5s,2190256.0,2.1GiB
reactor,4,10,11110,263.3164490063985,263s,18477672.0,18GiB
org_jivesoftware_openfire,1,1,1,2.128144105275472,2.1s,421220.0,411MiB
org_jivesoftware_openfire,1,2,2,2.7040462493896484,2.7s,435030.0,425MiB
org_jivesoftware_openfire,2,1,2,2.350499232610067,2.4s,426326.0,416MiB
org_jivesoftware_openfire,1,3,3,2.7095277309417725,2.7s,451426.0,441MiB
org_jivesoftware_openfire,3,1,3,2.5356712341308594,2.5s,421456.0,412MiB
org_jivesoftware_openfire,4,1,4,2.7810134887695312,2.8s,430402.0,420MiB
org_jivesoftware_openfire,1,5,5,3.136895259221395,3.1s,481516.0,470MiB
org_jivesoftware_openfire,2,2,6,3.932478427886963,3.9s,487524.0,476MiB
org_jivesoftware_openfire,1,10,10,4.28888479868571,4.3s,585462.0,572MiB
org_jivesoftware_openfire,2,3,12,5.393483241399129,5.4s,593024.0,579MiB
org_jivesoftware_openfire,3,2,14,4.836891333262126,4.8s,571810.0,558MiB
org_jivesoftware_openfire,2,5,30,8.771440505981445,8.8s,901868.0,881MiB
org_jivesoftware_openfire,4,2,30,7.392937660217285,7.4s,748826.0,731MiB
org_jivesoftware_openfire,3,3,39,8.794169028600058,8.8s,943142.0,921MiB
org_jivesoftware_openfire,2,10,110,22.0190372467041,22.0s,2208110.0,2.1GiB
