bench,depth,contexts,time_sec,cell
basic,1,1,0.1891992886861165,189ms
basic,1,2,0.23711562156677238,237ms
basic,1,3,0.24819342295328775,248ms
basic,1,5,0.23796955744425455,238ms
basic,1,10,0.23173348108927405,232ms
basic,2,1,0.2341368198394775,234ms
basic,2,2,0.3071168263753255,307ms
basic,2,3,0.3099113305409749,310ms
basic,2,5,0.31026832262674964,310ms
basic,2,10,0.3389863967895508,339ms
basic,3,1,0.28639992078145343,286ms
basic,3,2,0.3710886637369792,371ms
basic,3,3,0.39861710866292316,399ms
basic,3,5,0.4093910853068034,409ms
basic,3,10,0.6701868375142416,670ms
basic,4,1,0.3166308403015136,317ms
basic,4,2,0.43221839269002277,432ms
basic,4,3,0.4744393825531006,474ms
basic,4,5,0.6512370904286703,651ms
basic,4,10,3.5792450110117593,3.6s
collections,1,1,0.16385841369628903,164ms
collections,1,2,0.20618534088134757,206ms
collections,1,3,0.20437693595886228,204ms
collections,1,5,0.2037626107533773,204ms
collections,1,10,0.206709623336792,207ms
collections,2,1,0.22283808390299473,223ms
collections,2,2,0.29357051849365234,294ms
collections,2,3,0.2896881103515625,290ms
collections,2,5,0.3058986663818359,306ms
collections,2,10,0.31875451405843097,319ms
collections,3,1,0.27162965138753253,272ms
collections,3,2,0.35750166575113934,358ms
collections,3,3,0.3777066071828206,378ms
collections,3,5,0.41988992691040034,420ms
collections,3,10,0.6025268236796061,603ms
collections,4,1,0.2963928381601969,296ms
collections,4,2,0.46332518259684247,463ms
collections,4,3,0.46088480949401855,461ms
collections,4,5,0.5857114791870117,586ms
collections,4,10,3.0544844468434653,3.1s
cornerCases,1,1,0.19336040814717606,193ms
cornerCases,1,2,0.24080832799275712,241ms
cornerCases,1,3,0.2390942573547363,239ms
cornerCases,1,5,0.23680178324381507,237ms
cornerCases,1,10,0.24215793609619138,242ms
cornerCases,2,1,0.24691430727640787,247ms
cornerCases,2,2,0.3138620853424072,314ms
cornerCases,2,3,0.309539000193278,310ms
cornerCases,2,5,0.3160578409830728,316ms
cornerCases,2,10,0.36482810974121094,365ms
cornerCases,3,1,0.2770557403564453,277ms
cornerCases,3,2,0.37529929478963214,375ms
cornerCases,3,3,0.38947534561157227,389ms
cornerCases,3,5,0.414107879002889,414ms
cornerCases,3,10,0.7183773517608643,718ms
cornerCases,4,1,0.31805992126464844,318ms
cornerCases,4,2,0.4443761507670085,444ms
cornerCases,4,3,0.4650765260060628,465ms
cornerCases,4,5,0.675530751546224,676ms
cornerCases,4,10,3.9515294233957925,4s
generalJava,1,1,0.16539907455444333,165ms
generalJava,1,2,0.20383628209431962,204ms
generalJava,1,3,0.1982863744099935,198ms
generalJava,1,5,0.1957836151123047,196ms
generalJava,1,10,0.1973564624786376,197ms
generalJava,2,1,0.233174721399943,233ms
generalJava,2,2,0.2787792682647705,279ms
