bench,depth,contexts,ram_kb_last2_mean,cell
basic,1,1,224800.0,220MiB
basic,1,2,225384.0,220MiB
basic,1,3,225470.0,220MiB
basic,1,5,225592.0,220MiB
basic,1,10,226788.0,221MiB
basic,2,1,225210.0,220MiB
basic,2,2,225638.0,220MiB
basic,2,3,226456.0,221MiB
basic,2,5,228676.0,223MiB
basic,2,10,241628.0,236MiB
basic,3,1,225764.0,220MiB
basic,3,2,226320.0,221MiB
basic,3,3,229474.0,224MiB
basic,3,5,243910.0,238MiB
basic,3,10,395610.0,386MiB
basic,4,1,225616.0,220MiB
basic,4,2,228008.0,223MiB
basic,4,3,237578.0,232MiB
basic,4,5,319876.0,312MiB
basic,4,10,,OOT
collections,1,1,224820.0,220MiB
collections,1,2,224908.0,220MiB
collections,1,3,225434.0,220MiB
collections,1,5,225598.0,220MiB
collections,1,10,226518.0,221MiB
collections,2,1,225036.0,220MiB
collections,2,2,225458.0,220MiB
collections,2,3,225974.0,221MiB
collections,2,5,228682.0,223MiB
collections,2,10,240598.0,235MiB
collections,3,1,225714.0,220MiB
collections,3,2,226676.0,221MiB
collections,3,3,229004.0,224MiB
collections,3,5,242290.0,237MiB
collections,3,10,385664.0,377MiB
collections,4,1,225500.0,220MiB
collections,4,2,227972.0,223MiB
collections,4,3,236720.0,231MiB
collections,4,5,313144.0,306MiB
collections,4,10,,OOT
cornerCases,1,1,224680.0,219MiB
cornerCases,1,2,225580.0,220MiB
cornerCases,1,3,225362.0,220MiB
cornerCases,1,5,225620.0,220MiB
cornerCases,1,10,226528.0,221MiB
cornerCases,2,1,224994.0,220MiB
cornerCases,2,2,225896.0,221MiB
cornerCases,2,3,226144.0,221MiB
cornerCases,2,5,228868.0,224MiB
cornerCases,2,10,242250.0,237MiB
cornerCases,3,1,225462.0,220MiB
cornerCases,3,2,226210.0,221MiB
cornerCases,3,3,229708.0,224MiB
cornerCases,3,5,244316.0,239MiB
cornerCases,3,10,400094.0,391MiB
cornerCases,4,1,225480.0,220MiB
cornerCases,4,2,228540.0,223MiB
cornerCases,4,3,238330.0,233MiB
cornerCases,4,5,323322.0,316MiB
cornerCases,4,10,,OOT
generalJava,1,1,224670.0,219MiB
generalJava,1,2,225356.0,220MiB
generalJava,1,3,225290.0,220MiB
generalJava,1,5,225464.0,220MiB
generalJava,1,10,226738.0,221MiB
generalJava,2,1,225338.0,220MiB
generalJava,2,2,225640.0,220MiB
generalJava,2,3,226070.0,221MiB
generalJava,2,5,228328.0,223MiB
generalJava,2,10,240280.0,235MiB
generalJava,3,1,225428.0,220MiB
generalJava,3,2,226076.0,221MiB
generalJava,3,3,229080.0,224MiB
generalJava,3,5,243052.0,237MiB
generalJava,3,10,389052.0,380MiB
generalJava,4,1,225558.0,220MiB
generalJava,4,2,228132.0,223MiB
generalJava,4,3,237012.0,231MiB
generalJava,4,5,315772.0,308MiB
generalJava,4,10,,OOT
reactor,1,1,242366.0,237MiB
reactor,1,2,245252.0,240MiB
reactor,1,3,248720.0,243MiB
reactor,1,5,253778.0,248MiB
reactor,1,10,268154.0,262MiB
reactor,2,1,243526.0,238MiB
reactor,2,2,251774.0,246MiB
reactor,2,3,264600.0,258MiB
reactor,2,5,302700.0,296MiB
reactor,2,10,485298.0,474MiB
reactor,3,1,243584.0,238MiB
reactor,3,2,263288.0,257MiB
reactor,3,3,311880.0,305MiB
reactor,3,5,546768.0,534MiB
reactor,3,10,2637960.0,2.5GiB
reactor,4,1,244980.0,239MiB
reactor,4,2,286098.0,279MiB
reactor,4,3,449232.0,439MiB
reactor,4,5,1756024.0,1.7GiB
reactor,4,10,,OOT
org_jivesoftware_openfire,1,1,405056.0,396MiB
org_jivesoftware_openfire,1,2,439028.0,429MiB
org_jivesoftware_openfire,1,3,462408.0,452MiB
org_jivesoftware_openfire,1,5,516848.0,505MiB
org_jivesoftware_openfire,1,10,633258.0,618MiB
org_jivesoftware_openfire,2,1,416996.0,407MiB
org_jivesoftware_openfire,2,2,481850.0,471MiB
org_jivesoftware_openfire,2,3,578004.0,564MiB
org_jivesoftware_openfire,2,5,868534.0,848MiB
org_jivesoftware_openfire,2,10,2261026.0,2.2GiB
org_jivesoftware_openfire,3,1,414218.0,405MiB
org_jivesoftware_openfire,3,2,573628.0,560MiB
org_jivesoftware_openfire,3,3,937620.0,916MiB
org_jivesoftware_openfire,3,5,2807218.0,2.7GiB
org_jivesoftware_openfire,3,10,,OOT
org_jivesoftware_openfire,4,1,412096.0,402MiB
org_jivesoftware_openfire,4,2,749042.0,731MiB
org_jivesoftware_openfire,4,3,2001252.0,1.9GiB
org_jivesoftware_openfire,4,5,,OOT
org_jivesoftware_openfire,4,10,,OOM
com_fasterxml_jackson,1,1,941720.0,920MiB
com_fasterxml_jackson,1,2,1067616.0,1.0GiB
com_fasterxml_jackson,1,3,1173212.0,1.1GiB
com_fasterxml_jackson,1,5,1366744.0,1.3GiB
