bench,depth,contexts,time_sec,cell
basic,1,1,0.15443102518717444,154ms
basic,1,2,0.2802463372548421,280ms
basic,1,3,0.39273730913798016,393ms
basic,1,5,0.7577552795410156,758ms
basic,1,10,1.7851840655008953,1.8s
basic,2,1,0.2248491446177164,225ms
basic,2,2,0.521841843922933,522ms
basic,2,3,0.9426836967468262,943ms
basic,2,5,2.8820126056671143,2.9s
basic,2,10,16.05309812227885,16.1s
basic,3,1,0.22433416048685706,224ms
basic,3,2,0.842145840326945,842ms
basic,3,3,2.408318201700846,2.4s
basic,3,5,12.779406468073526,12.8s
basic,3,10,149.35804756482443,149s
basic,4,1,0.2541493574778239,254ms
basic,4,2,1.6104052861531575,1.6s
basic,4,3,7.041840314865112,7s
basic,4,5,63.49191927909851,63.5s
basic,4,10,,OOT
collections,1,1,0.13872615496317545,139ms
collections,1,2,0.24718101819356283,247ms
collections,1,3,0.3603654702504476,360ms
collections,1,5,0.6741108894348145,674ms
collections,1,10,1.6710247993469238,1.7s
collections,2,1,0.20974731445312497,210ms
collections,2,2,0.46104009946187335,461ms
collections,2,3,0.9623824755350748,962ms
collections,2,5,2.8449248472849527,2.8s
collections,2,10,15.859666585922241,15.9s
collections,3,1,0.2050379117329915,205ms
collections,3,2,0.8031706809997559,803ms
collections,3,3,2.4213148752848306,2.4s
collections,3,5,12.369057178497314,12.4s
collections,3,10,146.50749580065408,147s
collections,4,1,0.23765126864115393,238ms
collections,4,2,1.5278592109680176,1.5s
collections,4,3,7.138640324274699,7.1s
collections,4,5,61.12842973073324,61.1s
collections,4,10,,OOT
cornerCases,1,1,0.1652123133341471,165ms
cornerCases,1,2,0.2807018756866455,281ms
cornerCases,1,3,0.37744688987731934,377ms
cornerCases,1,5,0.6756571133931478,676ms
cornerCases,1,10,1.753917932510376,1.8s
cornerCases,2,1,0.2232561111450195,223ms
cornerCases,2,2,0.49274516105651855,493ms
cornerCases,2,3,0.950705369313558,951ms
cornerCases,2,5,2.829441865285238,2.8s
cornerCases,2,10,14.864216407140097,14.9s
cornerCases,3,1,0.22065202395121253,221ms
cornerCases,3,2,0.8584080537160238,858ms
cornerCases,3,3,2.4900009632110596,2.5s
cornerCases,3,5,12.434265613555908,12.4s
cornerCases,3,10,168.91006882985434,169s
cornerCases,4,1,0.2532835006713867,253ms
cornerCases,4,2,1.6452264785766602,1.6s
cornerCases,4,3,7.143795649210612,7.1s
cornerCases,4,5,62.02289867401123,62.0s
cornerCases,4,10,,OOT
generalJava,1,1,0.13299004236857093,133ms
generalJava,1,2,0.2325194676717122,233ms
generalJava,1,3,0.3563376267751058,356ms
generalJava,1,5,0.5960617065429688,596ms
generalJava,1,10,1.5659367243448894,1.6s
generalJava,2,1,0.20520393053690592,205ms
generalJava,2,2,0.46305076281229657,463ms
generalJava,2,3,0.9523938496907552,952ms
generalJava,2,5,2.7444093227386475,2.7s
generalJava,2,10,9.512109915415445,9.5s
generalJava,3,1,0.19821182886759436,198ms
generalJava,3,2,0.7797842820485433,780ms
generalJava,3,3,2.312714099884033,2.3s
generalJava,3,5,11.598891814549765,11.6s
generalJava,3,10,157.11092734336853,157s
generalJava,4,1,0.2299739519755045,230ms
generalJava,4,2,1.4478070735931396,1.4s
generalJava,4,3,6.749794324239095,6.7s
generalJava,4,5,57.59372075398763,57.6s
generalJava,4,10,,OOT
reactor,1,1,0.6553757985432943,655ms
reactor,1,2,1.079706112543742,1.1s
reactor,1,3,1.51012126604716,1.5s
reactor,1,5,2.6514223416646323,2.7s
reactor,1,10,6.797439177831014,6.8s
reactor,2,1,0.8222665786743164,822ms
reactor,2,2,2.6929451624552407,2.7s
reactor,2,3,3.671673615773519,3.7s
reactor,2,5,10.860984643300375,10.9s
reactor,2,10,50.74212646484375,50.7s
reactor,3,1,1.0132465362548828,1s
reactor,3,2,4.4442150592803955,4.4s
reactor,3,3,10.88608694076538,10.9s
reactor,3,5,54.418023904164635,54.4s
reactor,3,10,538.0076111952463,538s
reactor,4,1,1.3853295644124348,1.4s
reactor,4,2,10.835952043533325,10.8s
reactor,4,3,30.247316122055054,30.2s
reactor,4,5,235.17818760871887,235s
reactor,4,10,,OOT
org_jivesoftware_openfire,1,1,2.5306803385416665,2.5s
org_jivesoftware_openfire,1,2,3.418853680292765,3.4s
org_jivesoftware_openfire,1,3,4.658527215321858,4.7s
org_jivesoftware_openfire,1,5,7.013580878575643,7s
org_jivesoftware_openfire,1,10,15.304392655690512,15.3s
org_jivesoftware_openfire,2,1,2.8858843644460044,2.9s
org_jivesoftware_openfire,2,2,5.279641946156819,5.3s
org_jivesoftware_openfire,2,3,9.72468098004659,9.7s
org_jivesoftware_openfire,2,5,25.491167306900024,25.5s
org_jivesoftware_openfire,2,10,112.39757267634074,112s
org_jivesoftware_openfire,3,1,2.4843548933664956,2.5s
org_jivesoftware_openfire,3,2,7.509769678115845,7.5s
org_jivesoftware_openfire,3,3,21.81921656926473,21.8s
org_jivesoftware_openfire,3,5,106.4486145178477,106s
org_jivesoftware_openfire,3,10,,OOT
org_jivesoftware_openfire,4,1,2.6211446126302085,2.6s
org_jivesoftware_openfire,4,2,14.020749966303507,14.0s
org_jivesoftware_openfire,4,3,61.651379903157554,61.7s
org_jivesoftware_openfire,4,5,,OOT
org_jivesoftware_openfire,4,10,,OOM
com_fasterxml_jackson,1,1,13.300839265187582,13.3s
com_fasterxml_jackson,1,2,16.612600406010944,16.6s
com_fasterxml_jackson,1,3,21.120291868845623,21.1s
com_fasterxml_jackson,1,5,29.358741124471027,29.4s
com_fasterxml_jackson,1,10,63.95712343851725,64.0s
com_fasterxml_jackson,2,1,15.05190340677897,15.1s
com_fasterxml_jackson,2,2,26.6938636302948,26.7s
com_fasterxml_jackson,2,3,45.090748151143394,45.1s
com_fasterxml_jackson,2,5,104.99792798360188,105s
com_fasterxml_jackson,2,10,469.1788140932719,469s
com_fasterxml_jackson,3,1,14.250058968861898,14.3s
com_fasterxml_jackson,3,2,36.53320423762004,36.5s
com_fasterxml_jackson,3,3,92.09263976414998,92.1s
com_fasterxml_jackson,3,5,417.02523676554364,417s
com_fasterxml_jackson,3,10,,OOM
com_fasterxml_jackson,4,1,13.077344020207724,13.1s
com_fasterxml_jackson,4,2,61.206965366999306,61.2s
com_fasterxml_jackson,4,3,257.8310384750366,258s
com_fasterxml_jackson,4,5,,OOM
com_fasterxml_jackson,4,10,,OOM
org_apache_jackrabbit,1,1,30.582545677820843,30.6s
org_apache_jackrabbit,1,2,42.628273248672485,42.6s
org_apache_jackrabbit,1,3,52.54331342379252,52.5s
org_apache_jackrabbit,1,5,73.80360547701518,73.8s
org_apache_jackrabbit,1,10,146.05986467997232,146s
org_apache_jackrabbit,2,1,37.93837523460388,37.9s
org_apache_jackrabbit,2,2,74.0152223110199,74.0s
org_apache_jackrabbit,2,3,127.8041741847992,128s
org_apache_jackrabbit,2,5,299.0280357996623,299s
org_apache_jackrabbit,2,10,,OOT
org_apache_jackrabbit,3,1,33.75205206871033,33.8s
org_apache_jackrabbit,3,2,100.93851375579834,101s
org_apache_jackrabbit,3,3,282.3935347398122,282s
org_apache_jackrabbit,3,5,,OOT
org_apache_jackrabbit,3,10,,OOM
org_apache_jackrabbit,4,1,31.619218826293945,31.6s
org_apache_jackrabbit,4,2,170.9641316731771,171s
org_apache_jackrabbit,4,3,,OOT
org_apache_jackrabbit,4,5,,OOM
org_apache_jackrabbit,4,10,,OOM
