bench,depth,contexts,total_contexts,fields,context_field_ratio,speedup_not_grouped_over_grouped,bound,grouped_status,not_grouped_status
org_apache_jackrabbit,1,1,1,7714,0.00012963443090484831,1.2375026146200485,exact,OK,OK
org_jivesoftware_openfire,1,1,1,5270,0.00018975332068311195,1.1891489548420826,exact,OK,OK
org_apache_jackrabbit,1,2,2,7714,0.00025926886180969663,1.294914194872618,exact,OK,OK
org_apache_jackrabbit,2,1,2,7714,0.00025926886180969663,1.3657911262528193,exact,OK,OK
com_fasterxml_jackson,1,1,1,2870,0.0003484320557491289,1.2863011611598762,exact,OK,OK
org_jivesoftware_openfire,2,1,2,5270,0.0003795066413662239,1.2277750719541523,exact,OK,OK
org_jivesoftware_openfire,1,2,2,5270,0.0003795066413662239,1.2643473391272289,exact,OK,OK
org_apache_jackrabbit,3,1,3,7714,0.000388903292714545,1.084498519698521,exact,OK,OK
org_apache_jackrabbit,1,3,3,7714,0.000388903292714545,1.474374782703803,exact,OK,OK
org_apache_jackrabbit,4,1,4,7714,0.0005185377236193933,0.9747526563760743,exact,OK,OK
org_jivesoftware_openfire,3,1,3,5270,0.0005692599620493358,0.979762226240677,exact,OK,OK
org_jivesoftware_openfire,1,3,3,5270,0.0005692599620493358,1.7193133556535538,exact,OK,OK
org_apache_jackrabbit,1,5,5,7714,0.0006481721545242416,1.5295364622942653,exact,OK,OK
com_fasterxml_jackson,1,2,2,2870,0.0006968641114982578,1.1117003918440826,exact,OK,OK
com_fasterxml_jackson,2,1,2,2870,0.0006968641114982578,1.393826430124849,exact,OK,OK
org_jivesoftware_openfire,4,1,4,5270,0.0007590132827324478,0.9425141673045041,exact,OK,OK
org_apache_jackrabbit,2,2,6,7714,0.00077780658542909,1.193145883687505,exact,OK,OK
org_jivesoftware_openfire,1,5,5,5270,0.0009487666034155598,2.2358352125268204,exact,OK,OK
com_fasterxml_jackson,3,1,3,2870,0.0010452961672473868,1.1149247445916535,exact,OK,OK
com_fasterxml_jackson,1,3,3,2870,0.0010452961672473868,1.3826160786407702,exact,OK,OK
org_jivesoftware_openfire,2,2,6,5270,0.0011385199240986717,1.3425736575480027,exact,OK,OK
org_apache_jackrabbit,1,10,10,7714,0.0012963443090484833,1.6800446910224576,exact,OK,OK
com_fasterxml_jackson,4,1,4,2870,0.0013937282229965157,0.9290916862880843,exact,OK,OK
org_apache_jackrabbit,2,3,12,7714,0.00155561317085818,1.1939174110799013,exact,OK,OK
com_fasterxml_jackson,1,5,5,2870,0.0017421602787456446,1.5650155979650204,exact,OK,OK
org_apache_jackrabbit,3,2,14,7714,0.0018148820326678765,0.9341466770587146,exact,OK,OK
org_jivesoftware_openfire,1,10,10,5270,0.0018975332068311196,3.568385110362583,exact,OK,OK
com_fasterxml_jackson,2,2,6,2870,0.0020905923344947735,1.0048689241941404,exact,OK,OK
org_jivesoftware_openfire,2,3,12,5270,0.0022770398481973433,1.8030427730640175,exact,OK,OK
reactor,1,1,1,414,0.0024154589371980675,0.9033922771444013,exact,OK,OK
org_jivesoftware_openfire,3,2,14,5270,0.0026565464895635673,1.5526025210599594,exact,OK,OK
com_fasterxml_jackson,1,10,10,2870,0.003484320557491289,2.293065844316442,exact,OK,OK
org_apache_jackrabbit,4,2,30,7714,0.00388903292714545,0.7801761741771395,exact,OK,OK
org_apache_jackrabbit,2,5,30,7714,0.00388903292714545,1.028107224054902,exact,OK,OK
com_fasterxml_jackson,2,3,12,2870,0.004181184668989547,1.2038025580111693,exact,OK,OK
reactor,2,1,2,414,0.004830917874396135,0.91373125997937,exact,OK,OK
reactor,1,2,2,414,0.004830917874396135,1.1420577462708486,exact,OK,OK
com_fasterxml_jackson,3,2,14,2870,0.004878048780487805,1.0474495788047913,exact,OK,OK
org_apache_jackrabbit,3,3,39,7714,0.005055742805289085,0.8348106011957033,exact,OK,OK
org_jivesoftware_openfire,4,2,30,5270,0.0056925996204933585,1.8965059101947608,exact,OK,OK
org_jivesoftware_openfire,2,5,30,5270,0.0056925996204933585,2.906155185059628,exact,OK,OK
reactor,3,1,3,414,0.007246376811594203,0.8546911509887384,exact,OK,OK
reactor,1,3,3,414,0.007246376811594203,1.5946882394433868,exact,OK,OK
org_jivesoftware_openfire,3,3,39,5270,0.007400379506641366,2.4811004312408724,exact,OK,OK
reactor,4,1,4,414,0.00966183574879227,0.8176646730883151,exact,OK,OK
com_fasterxml_jackson,4,2,30,2870,0.010452961672473868,0.9797992287376882,exact,OK,OK
com_fasterxml_jackson,2,5,30,2870,0.010452961672473868,1.4511226288778272,exact,OK,OK
reactor,1,5,5,414,0.012077294685990338,2.5439065135755508,exact,OK,OK
com_fasterxml_jackson,3,3,39,2870,0.013588850174216028,1.1446595423121826,exact,OK,OK
reactor,2,2,6,414,0.014492753623188406,1.5150484568277416,exact,OK,OK
org_jivesoftware_openfire,2,10,110,5270,0.020872865275142316,5.104563447394361,exact,OK,OK
org_jivesoftware_openfire,4,3,120,5270,0.022770398481973434,2.933845535506705,exact,OK,OK
reactor,1,10,10,414,0.024154589371980676,5.966224038632906,exact,OK,OK
reactor,2,3,12,414,0.028985507246376812,2.5958371399707607,exact,OK,OK
org_jivesoftware_openfire,3,5,155,5270,0.029411764705882353,3.7821551203399437,exact,OK,OK
reactor,3,2,14,414,0.033816425120772944,2.042028726348044,exact,OK,OK
com_fasterxml_jackson,2,10,110,2870,0.03832752613240418,2.067871647511491,exact,OK,OK
com_fasterxml_jackson,4,3,120,2870,0.041811846689895474,1.0766677249947256,exact,OK,OK
com_fasterxml_jackson,3,5,155,2870,0.05400696864111498,1.2977602101223502,exact,OK,OK
basic,1,1,1,15,0.06666666666666667,0.8162347028871607,exact,OK,OK
reactor,4,2,30,414,0.07246376811594203,3.253904604452071,exact,OK,OK
reactor,2,5,30,414,0.07246376811594203,5.530111272887163,exact,OK,OK
generalJava,1,1,1,11,0.09090909090909091,0.8040555409806448,exact,OK,OK
reactor,3,3,39,414,0.09420289855072464,4.448650231768542,exact,OK,OK
collections,1,1,1,10,0.1,0.8466221040092812,exact,OK,OK
cornerCases,1,1,1,9,0.1111111111111111,0.8544267925230895,exact,OK,OK
basic,2,1,2,15,0.13333333333333333,0.9603322739749832,exact,OK,OK
basic,1,2,2,15,0.13333333333333333,1.1818974026387545,exact,OK,OK
generalJava,2,1,2,11,0.18181818181818182,0.8800436398289445,exact,OK,OK
generalJava,1,2,2,11,0.18181818181818182,1.140716781540002,exact,OK,OK
basic,3,1,3,15,0.2,0.7832898831632094,exact,OK,OK
collections,2,1,2,10,0.2,0.9412543438689395,exact,OK,OK
collections,1,2,2,10,0.2,1.1988292530253488,exact,OK,OK
basic,1,3,3,15,0.2,1.5823840312315482,exact,OK,OK
cornerCases,2,1,2,9,0.2222222222222222,0.9041845877934314,exact,OK,OK
cornerCases,1,2,2,9,0.2222222222222222,1.1656651496500083,exact,OK,OK
reactor,2,10,110,414,0.26570048309178745,15.889271474369393,exact,OK,OK
basic,4,1,4,15,0.26666666666666666,0.8026677288788694,exact,OK,OK
generalJava,3,1,3,11,0.2727272727272727,0.7933716518606243,exact,OK,OK
generalJava,1,3,3,11,0.2727272727272727,1.7970857949034476,exact,OK,OK
reactor,4,3,120,414,0.2898550724637681,8.15998200855809,exact,OK,OK
collections,3,1,3,10,0.3,0.7548436287629918,exact,OK,OK
collections,1,3,3,10,0.3,1.7632394211203128,exact,OK,OK
cornerCases,3,1,3,9,0.3333333333333333,0.7964174417297157,exact,OK,OK
cornerCases,1,3,3,9,0.3333333333333333,1.5786530971227544,exact,OK,OK
basic,1,5,5,15,0.3333333333333333,3.1842530098351896,exact,OK,OK
generalJava,4,1,4,11,0.36363636363636365,0.798085637204366,exact,OK,OK
reactor,3,5,155,414,0.3743961352657005,12.027945792061134,exact,OK,OK
collections,4,1,4,10,0.4,0.8018117783018298,exact,OK,OK
basic,2,2,6,15,0.4,1.6991639633746196,exact,OK,OK
cornerCases,4,1,4,9,0.4444444444444444,0.7963389403616083,exact,OK,OK
generalJava,1,5,5,11,0.45454545454545453,3.044492289107329,exact,OK,OK
collections,1,5,5,10,0.5,3.308314940323964,exact,OK,OK
generalJava,2,2,6,11,0.5454545454545454,1.6609942543235112,exact,OK,OK
cornerCases,1,5,5,9,0.5555555555555556,2.8532602421219098,exact,OK,OK
collections,2,2,6,10,0.6,1.5704577619971132,exact,OK,OK
cornerCases,2,2,6,9,0.6666666666666666,1.5699416529363819,exact,OK,OK
basic,1,10,10,15,0.6666666666666666,7.70360871942006,exact,OK,OK
basic,2,3,12,15,0.8,3.041785194175691,exact,OK,OK
generalJava,1,10,10,11,0.9090909090909091,7.934560159206292,exact,OK,OK
basic,3,2,14,15,0.9333333333333333,2.2693925269672004,exact,OK,OK
collections,1,10,10,10,1.0,8.083923585039498,exact,OK,OK
generalJava,2,3,12,11,1.0909090909090908,3.291554408798728,exact,OK,OK
cornerCases,1,10,10,9,1.1111111111111112,7.242867860476291,exact,OK,OK
collections,2,3,12,10,1.2,3.3221331533666927,exact,OK,OK
generalJava,3,2,14,11,1.2727272727272727,2.2891720892426406,exact,OK,OK
cornerCases,2,3,12,9,1.3333333333333333,3.0713589199420164,exact,OK,OK
collections,3,2,14,10,1.4,2.2466208075205203,exact,OK,OK
cornerCases,3,2,14,9,1.5555555555555556,2.287262634472016,exact,OK,OK
reactor,4,5,780,414,1.8840579710144927,15.298410131894721,exact,OK,OK
basic,4,2,30,15,2.0,3.7259064245979547,exact,OK,OK
basic,2,5,30,15,2.0,9.288774894155575,exact,OK,OK
basic,3,3,39,15,2.6,6.041682981894683,exact,OK,OK
reactor,3,10,1110,414,2.681159420289855,21.93321997690839,exact,OK,OK
generalJava,4,2,30,11,2.727272727272727,3.5313229568967452,exact,OK,OK
generalJava,2,5,30,11,2.727272727272727,9.620095675385654,exact,OK,OK
collections,4,2,30,10,3.0,3.2975958751144945,exact,OK,OK
collections,2,5,30,10,3.0,9.300219843828266,exact,OK,OK
cornerCases,4,2,30,9,3.3333333333333335,3.702328479458096,exact,OK,OK
cornerCases,2,5,30,9,3.3333333333333335,8.952291316312493,exact,OK,OK
generalJava,3,3,39,11,3.5454545454545454,6.473004086794957,exact,OK,OK
collections,3,3,39,10,3.9,6.410570610200753,exact,OK,OK
cornerCases,3,3,39,9,4.333333333333333,6.393218444420775,exact,OK,OK
basic,2,10,110,15,7.333333333333333,47.35617203024498,exact,OK,OK
basic,4,3,120,15,8.0,14.842444733341608,exact,OK,OK
generalJava,2,10,110,11,10.0,34.502143951922434,exact,OK,OK
basic,3,5,155,15,10.333333333333334,31.215644225609996,exact,OK,OK
generalJava,4,3,120,11,10.909090909090908,16.29011229795852,exact,OK,OK
collections,2,10,110,10,11.0,49.75511212059259,exact,OK,OK
collections,4,3,120,10,12.0,15.488990257916813,exact,OK,OK
cornerCases,2,10,110,9,12.222222222222221,40.74306779070274,exact,OK,OK
cornerCases,4,3,120,9,13.333333333333334,15.36047349144748,exact,OK,OK
generalJava,3,5,155,11,14.090909090909092,30.363839927034164,exact,OK,OK
collections,3,5,155,10,15.5,29.457856418491147,exact,OK,OK
cornerCases,3,5,155,9,17.22222222222222,30.026633744559017,exact,OK,OK
basic,4,5,780,15,52.0,97.4943230541516,exact,OK,OK
generalJava,4,5,780,11,70.9090909090909,100.37739967754982,exact,OK,OK
basic,3,10,1110,15,74.0,222.8603117882788,exact,OK,OK
collections,4,5,780,10,78.0,104.36611181939215,exact,OK,OK
cornerCases,4,5,780,9,86.66666666666667,91.81358292283048,exact,OK,OK
generalJava,3,10,1110,11,100.9090909090909,258.56553675833743,exact,OK,OK
collections,3,10,1110,10,111.0,243.1551427137118,exact,OK,OK
cornerCases,3,10,1110,9,123.33333333333333,235.12721888548856,exact,OK,OK
