bench,depth,contexts,memory_ratio_not_grouped_over_grouped,cell,status
basic,1,1,0.9807274530130257,0.98x,exact
basic,1,2,0.9817199646483776,0.98x,exact
basic,1,3,0.9814888283771843,0.98x,exact
basic,1,5,0.9795659107495203,0.98x,exact
basic,1,10,0.9881760415914507,0.99x,exact
basic,2,1,0.9780795012253135,0.98x,exact
basic,2,2,0.9778177565890078,0.98x,exact
basic,2,3,0.9834414999098612,0.98x,exact
basic,2,5,0.9925678353933192,0.99x,exact
basic,2,10,1.0449454323711136,1x,exact
basic,3,1,0.9814940194087114,0.98x,exact
basic,3,2,0.9836657837360578,0.98x,exact
basic,3,3,0.9939741130056475,0.99x,exact
basic,3,5,1.047187708750835,1x,exact
basic,3,10,1.5855639122438256,1.6x,exact
basic,4,1,1.0057127010537992,1x,exact
basic,4,2,1.0105294106837686,1x,exact
basic,4,3,1.0443241862035608,1x,exact
basic,4,5,1.342330970084731,1.3x,exact
basic,4,10,4.335714577110143,4.3x,exact
collections,1,1,0.9813483267556901,0.98x,exact
collections,1,2,0.9812528784417133,0.98x,exact
collections,1,3,0.9822864310271704,0.98x,exact
collections,1,5,0.9835838964981388,0.98x,exact
collections,1,10,0.9872879443125288,0.99x,exact
collections,2,1,0.9813748027946811,0.98x,exact
collections,2,2,0.9803506050823309,0.98x,exact
collections,2,3,0.9830078917700112,0.98x,exact
collections,2,5,0.994192390588787,0.99x,exact
collections,2,10,1.0425744176013805,1x,exact
collections,3,1,0.9791328353361481,0.98x,exact
collections,3,2,0.9840900271633682,0.98x,exact
collections,3,3,0.9929443568371255,0.99x,exact
collections,3,5,1.047644630689195,1x,exact
collections,3,10,1.6110864100415547,1.6x,exact
collections,4,1,0.9964213945550142,1x,exact
collections,4,2,1.0105071564490775,1x,exact
collections,4,3,1.0438229848393188,1x,exact
collections,4,5,1.3454780774072301,1.3x,exact
collections,4,10,5.313583383581451,5.3x,exact
cornerCases,1,1,0.9798576704801369,0.98x,exact
cornerCases,1,2,0.9798818702376122,0.98x,exact
cornerCases,1,3,0.9815295815295815,0.98x,exact
cornerCases,1,5,0.9808660351826793,0.98x,exact
cornerCases,1,10,0.9896599326903123,0.99x,exact
cornerCases,2,1,0.9840598186273181,0.98x,exact
cornerCases,2,2,0.9807832775738775,0.98x,exact
cornerCases,2,3,0.9825981055480378,0.98x,exact
cornerCases,2,5,0.9953207533587093,1x,exact
cornerCases,2,10,1.0402115835764048,1x,exact
cornerCases,3,1,0.9803340153037773,0.98x,exact
cornerCases,3,2,0.9846761254033785,0.98x,exact
cornerCases,3,3,0.9953816018833,1x,exact
cornerCases,3,5,1.0390259820436385,1x,exact
cornerCases,3,10,1.4815297038696784,1.5x,exact
cornerCases,4,1,1.0029627721241787,1x,exact
cornerCases,4,2,1.0103716905212488,1x,exact
cornerCases,4,3,1.0360680331128223,1x,exact
cornerCases,4,5,1.2840418926867525,1.3x,exact
cornerCases,4,10,3.6407694563107516,3.6x,exact
generalJava,1,1,0.9793689867539517,0.98x,exact
generalJava,1,2,0.9819279282530632,0.98x,exact
generalJava,1,3,0.9836275793561204,0.98x,exact
generalJava,1,5,0.9835877621399103,0.98x,exact
generalJava,1,10,0.9858950425222983,0.99x,exact
generalJava,2,1,0.9820825431229115,0.98x,exact
generalJava,2,2,0.9805340316963201,0.98x,exact
generalJava,2,3,0.9832004118608705,0.98x,exact
generalJava,2,5,0.9934598071319676,0.99x,exact
generalJava,2,10,1.038423759688538,1x,exact
generalJava,3,1,0.9814427223354925,0.98x,exact
generalJava,3,2,0.9867408504642509,0.99x,exact
generalJava,3,3,0.9936509365994236,0.99x,exact
generalJava,3,5,1.0473140403453056,1x,exact
generalJava,3,10,1.6095395433557842,1.6x,exact
generalJava,4,1,1.0022650056625142,1x,exact
generalJava,4,2,1.0107441890389053,1x,exact
generalJava,4,3,1.0441500498276604,1x,exact
generalJava,4,5,1.3459170390176969,1.3x,exact
generalJava,4,10,4.983599917918588,5x,exact
reactor,1,1,0.974727469418324,0.97x,exact
reactor,1,2,0.9793128468128262,0.98x,exact
reactor,1,3,0.9777153329260843,0.98x,exact
reactor,1,5,0.9756468195237002,0.98x,exact
reactor,1,10,0.9731401705171755,0.97x,exact
reactor,2,1,0.9764248683104627,0.98x,exact
reactor,2,2,0.9761820719752274,0.98x,exact
reactor,2,3,0.9658920341833925,0.97x,exact
reactor,2,5,0.9528769841269841,0.95x,exact
reactor,2,10,0.9185987766110416,0.92x,exact
reactor,3,1,0.9772959501557632,0.98x,exact
reactor,3,2,0.9694079922190224,0.97x,exact
reactor,3,3,0.9523916854495367,0.95x,exact
reactor,3,5,0.9346576911065616,0.93x,exact
reactor,3,10,1.1986618020526267,1.2x,exact
reactor,4,1,0.9960336883322926,1x,exact
reactor,4,2,0.9778110161778505,0.98x,exact
reactor,4,3,0.9539360131537604,0.95x,exact
reactor,4,5,1.131664822040023,1.1x,exact
reactor,4,10,,-,one_oot
org_jivesoftware_openfire,1,1,0.9568383085894799,0.96x,exact
org_jivesoftware_openfire,1,2,0.9777271891096394,0.98x,exact
org_jivesoftware_openfire,1,3,0.9661113441601247,0.97x,exact
org_jivesoftware_openfire,1,5,0.9684982602327532,0.97x,exact
org_jivesoftware_openfire,1,10,0.9396681930785977,0.94x,exact
org_jivesoftware_openfire,2,1,0.9932826380912223,0.99x,exact
org_jivesoftware_openfire,2,2,0.9690575668388663,0.97x,exact
org_jivesoftware_openfire,2,3,0.9354830250404009,0.94x,exact
org_jivesoftware_openfire,2,5,0.8772977628232089,0.88x,exact
org_jivesoftware_openfire,2,10,0.798343148457414,0.8x,exact
org_jivesoftware_openfire,3,1,0.9671976842085348,0.97x,exact
org_jivesoftware_openfire,3,2,0.9701802409836683,0.97x,exact
org_jivesoftware_openfire,3,3,0.8795448469139127,0.88x,exact
org_jivesoftware_openfire,3,5,1.063356470213981,1.1x,exact
org_jivesoftware_openfire,3,10,,-,one_oot
org_jivesoftware_openfire,4,1,0.9839609483960948,0.98x,exact
org_jivesoftware_openfire,4,2,0.9525357086576541,0.95x,exact
org_jivesoftware_openfire,4,3,0.850160460496154,0.85x,exact
org_jivesoftware_openfire,4,5,1.1342816317541935,1.1x,exact
org_jivesoftware_openfire,4,10,,-,one_oom
com_fasterxml_jackson,1,1,1.0224338335966876,1x,exact
com_fasterxml_jackson,1,2,0.9778785485935955,0.98x,exact
com_fasterxml_jackson,1,3,1.0172868074754364,1x,exact
com_fasterxml_jackson,1,5,1.0369811888638074,1x,exact
com_fasterxml_jackson,1,10,1.0053970491628255,1x,exact
com_fasterxml_jackson,2,1,1.0063963074162539,1x,exact
com_fasterxml_jackson,2,2,0.9460544146041776,0.95x,exact
com_fasterxml_jackson,2,3,1.0149942113136716,1x,exact
com_fasterxml_jackson,2,5,1.0206270530251094,1x,exact
com_fasterxml_jackson,2,10,1.0264229210916358,1x,exact
com_fasterxml_jackson,3,1,0.9599507760621215,0.96x,exact
com_fasterxml_jackson,3,2,0.9826759001086436,0.98x,exact
com_fasterxml_jackson,3,3,1.0065150255263522,1x,exact
com_fasterxml_jackson,3,5,1.0250063167945644,1x,exact
com_fasterxml_jackson,3,10,,OOT,oot
com_fasterxml_jackson,4,1,1.0093335013765938,1x,exact
com_fasterxml_jackson,4,2,1.0056383623663203,1x,exact
com_fasterxml_jackson,4,3,1.0380798772151003,1x,exact
com_fasterxml_jackson,4,5,,OOT,oot
com_fasterxml_jackson,4,10,,-,one_oom
org_apache_jackrabbit,1,1,0.9974834047792017,1x,exact
org_apache_jackrabbit,1,2,0.8826168965351531,0.88x,exact
org_apache_jackrabbit,1,3,0.8992983215121949,0.9x,exact
org_apache_jackrabbit,1,5,0.9478019009927371,0.95x,exact
org_apache_jackrabbit,1,10,0.7709312317173087,0.77x,exact
org_apache_jackrabbit,2,1,0.9805741345638685,0.98x,exact
org_apache_jackrabbit,2,2,0.7300356968296742,0.73x,exact
org_apache_jackrabbit,2,3,0.7588983289232828,0.76x,exact
org_apache_jackrabbit,2,5,0.6882142545581436,0.69x,exact
org_apache_jackrabbit,2,10,0.2406044545207763,0.24x,exact
org_apache_jackrabbit,3,1,0.9943394724693971,0.99x,exact
org_apache_jackrabbit,3,2,0.6620657832348641,0.66x,exact
org_apache_jackrabbit,3,3,0.6131375469838205,0.61x,exact
org_apache_jackrabbit,3,5,,-,one_oot
org_apache_jackrabbit,3,10,,-,one_oom
org_apache_jackrabbit,4,1,0.9981940279788847,1x,exact
org_apache_jackrabbit,4,2,0.6052346038962317,0.61x,exact
org_apache_jackrabbit,4,3,0.31372311219494414,0.31x,exact
org_apache_jackrabbit,4,5,,-,one_oom
org_apache_jackrabbit,4,10,,-,one_oom
