bench,depth,contexts,ram_kb_last2_mean,cell
basic,1,1,221870.0,217MiB
basic,1,2,221772.0,217MiB
basic,1,3,221812.0,217MiB
basic,1,5,221982.0,217MiB
basic,1,10,221584.0,216MiB
basic,2,1,221984.0,217MiB
basic,2,2,222340.0,217MiB
basic,2,3,221880.0,217MiB
basic,2,5,222008.0,217MiB
basic,2,10,223026.0,218MiB
basic,3,1,221550.0,216MiB
basic,3,2,221988.0,217MiB
basic,3,3,222042.0,217MiB
basic,3,5,224550.0,219MiB
basic,3,10,243584.0,238MiB
basic,4,1,216360.0,211MiB
basic,4,2,217676.0,213MiB
basic,4,3,219158.0,214MiB
basic,4,5,231320.0,226MiB
basic,4,10,441226.0,431MiB
collections,1,1,221964.0,217MiB
collections,1,2,221474.0,216MiB
collections,1,3,221638.0,216MiB
collections,1,5,221368.0,216MiB
collections,1,10,221522.0,216MiB
collections,2,1,221850.0,217MiB
collections,2,2,221788.0,217MiB
collections,2,3,221750.0,217MiB
collections,2,5,221778.0,217MiB
collections,2,10,222528.0,217MiB
collections,3,1,221688.0,216MiB
collections,3,2,221622.0,216MiB
collections,3,3,221950.0,217MiB
collections,3,5,223362.0,218MiB
collections,3,10,233908.0,228MiB
collections,4,1,217962.0,213MiB
collections,4,2,217566.0,212MiB
collections,4,3,218196.0,213MiB
collections,4,5,225612.0,220MiB
collections,4,10,341638.0,334MiB
cornerCases,1,1,222020.0,217MiB
cornerCases,1,2,221790.0,217MiB
cornerCases,1,3,221760.0,217MiB
cornerCases,1,5,221700.0,217MiB
cornerCases,1,10,221662.0,216MiB
cornerCases,2,1,221202.0,216MiB
cornerCases,2,2,221786.0,217MiB
cornerCases,2,3,221700.0,217MiB
cornerCases,2,5,222258.0,217MiB
cornerCases,2,10,224214.0,219MiB
cornerCases,3,1,221906.0,217MiB
cornerCases,3,2,221876.0,217MiB
cornerCases,3,3,222588.0,217MiB
cornerCases,3,5,226772.0,221MiB
cornerCases,3,10,264208.0,258MiB
cornerCases,4,1,217364.0,212MiB
cornerCases,4,2,217708.0,213MiB
cornerCases,4,3,221304.0,216MiB
cornerCases,4,5,244816.0,239MiB
cornerCases,4,10,538874.0,526MiB
generalJava,1,1,221802.0,217MiB
generalJava,1,2,221668.0,216MiB
generalJava,1,3,221470.0,216MiB
generalJava,1,5,221542.0,216MiB
generalJava,1,10,221766.0,217MiB
generalJava,2,1,221460.0,216MiB
generalJava,2,2,222234.0,217MiB
generalJava,2,3,221434.0,216MiB
generalJava,2,5,221706.0,217MiB
generalJava,2,10,223976.0,219MiB
generalJava,3,1,221692.0,216MiB
generalJava,3,2,221432.0,216MiB
generalJava,3,3,222080.0,217MiB
generalJava,3,5,223570.0,218MiB
generalJava,3,10,236070.0,231MiB
generalJava,4,1,217218.0,212MiB
generalJava,4,2,217606.0,213MiB
generalJava,4,3,218754.0,214MiB
generalJava,4,5,227384.0,222MiB
generalJava,4,10,370364.0,362MiB
reactor,1,1,240340.0,235MiB
reactor,1,2,242566.0,237MiB
reactor,1,3,245550.0,240MiB
reactor,1,5,252698.0,247MiB
reactor,1,10,266718.0,260MiB
reactor,2,1,240338.0,235MiB
reactor,2,2,249308.0,243MiB
reactor,2,3,265158.0,259MiB
reactor,2,5,310464.0,303MiB
reactor,2,10,514636.0,503MiB
reactor,3,1,240750.0,235MiB
reactor,3,2,263206.0,257MiB
reactor,3,3,319440.0,312MiB
reactor,3,5,576380.0,563MiB
reactor,3,10,2175164.0,2.1GiB
reactor,4,1,236996.0,231MiB
reactor,4,2,283474.0,277MiB
reactor,4,3,464658.0,454MiB
reactor,4,5,1541414.0,1.5GiB
reactor,4,10,18370488.0,18GiB
org_jivesoftware_openfire,1,1,415322.0,406MiB
org_jivesoftware_openfire,1,2,434880.0,425MiB
org_jivesoftware_openfire,1,3,467236.0,456MiB
org_jivesoftware_openfire,1,5,527082.0,515MiB
org_jivesoftware_openfire,1,10,666050.0,650MiB
org_jivesoftware_openfire,2,1,412662.0,403MiB
org_jivesoftware_openfire,2,2,485870.0,474MiB
org_jivesoftware_openfire,2,3,610134.0,596MiB
org_jivesoftware_openfire,2,5,998580.0,975MiB
org_jivesoftware_openfire,2,10,2821496.0,2.7GiB
org_jivesoftware_openfire,3,1,422836.0,413MiB
org_jivesoftware_openfire,3,2,583774.0,570MiB
org_jivesoftware_openfire,3,3,1054766.0,1.0GiB
org_jivesoftware_openfire,3,5,2609110.0,2.5GiB
org_jivesoftware_openfire,3,10,17269626.0,16GiB
org_jivesoftware_openfire,4,1,415860.0,406MiB
org_jivesoftware_openfire,4,2,774182.0,756MiB
org_jivesoftware_openfire,4,3,2355720.0,2.2GiB
org_jivesoftware_openfire,4,5,10934392.0,10GiB
org_jivesoftware_openfire,4,10,,OOM
com_fasterxml_jackson,1,1,910054.0,889MiB
com_fasterxml_jackson,1,2,1043512.0,1019MiB
com_fasterxml_jackson,1,3,1078626.0,1.0GiB
com_fasterxml_jackson,1,5,1329000.0,1.3GiB
com_fasterxml_jackson,1,10,1835818.0,1.8GiB
com_fasterxml_jackson,2,1,1016524.0,993MiB
com_fasterxml_jackson,2,2,1424250.0,1.4GiB
com_fasterxml_jackson,2,3,1915806.0,1.8GiB
com_fasterxml_jackson,2,5,3579474.0,3.4GiB
com_fasterxml_jackson,2,10,11143204.0,11GiB
com_fasterxml_jackson,3,1,1095402.0,1.0GiB
com_fasterxml_jackson,3,2,2105968.0,2.0GiB
com_fasterxml_jackson,3,3,4271664.0,4.1GiB
com_fasterxml_jackson,3,5,14896796.0,14GiB
com_fasterxml_jackson,3,10,,OOT
com_fasterxml_jackson,4,1,1126694.0,1.1GiB
com_fasterxml_jackson,4,2,3348490.0,3.2GiB
com_fasterxml_jackson,4,3,11039794.0,11GiB
com_fasterxml_jackson,4,5,,OOT
com_fasterxml_jackson,4,10,,OOM
org_apache_jackrabbit,1,1,1803230.0,1.7GiB
org_apache_jackrabbit,1,2,1997664.0,1.9GiB
org_apache_jackrabbit,1,3,2108088.0,2.0GiB
org_apache_jackrabbit,1,5,2462082.0,2.3GiB
org_apache_jackrabbit,1,10,3903282.0,3.7GiB
org_apache_jackrabbit,2,1,1967274.0,1.9GiB
org_apache_jackrabbit,2,2,3236702.0,3.1GiB
org_apache_jackrabbit,2,3,4301538.0,4.1GiB
org_apache_jackrabbit,2,5,8895288.0,8.5GiB
org_apache_jackrabbit,2,10,77410886.0,74GiB
org_apache_jackrabbit,3,1,2512840.0,2.4GiB
org_apache_jackrabbit,3,2,5660652.0,5.4GiB
org_apache_jackrabbit,3,3,11828540.0,11GiB
org_apache_jackrabbit,3,5,101268200.0,97GiB
org_apache_jackrabbit,3,10,,OOM
org_apache_jackrabbit,4,1,2631270.0,2.5GiB
org_apache_jackrabbit,4,2,10366324.0,9.9GiB
org_apache_jackrabbit,4,3,62006270.0,59GiB
org_apache_jackrabbit,4,5,,OOM
org_apache_jackrabbit,4,10,,OOM
