bench,depth,contexts,speedup_not_grouped_over_grouped,cell,status
basic,1,1,0.8107968231956559,0.81x,exact
basic,1,2,1.1180702709962391,1.1x,exact
basic,1,3,1.5288779383332887,1.5x,exact
basic,1,5,3.058026290888446,3.1x,exact
basic,1,10,6.924244820123344,6.9x,exact
basic,2,1,0.799129365585205,0.8x,exact
basic,2,2,1.6147090606966763,1.6x,exact
basic,2,3,2.9062982215996316,2.9x,exact
basic,2,5,8.650419546063498,8.7x,exact
basic,2,10,41.1440282737295,41.1x,exact
basic,3,1,0.8072098951765587,0.81x,exact
basic,3,2,2.361051312606291,2.4x,exact
basic,3,3,6.3839440850916835,6.4x,exact
basic,3,5,30.617137761943212,30.6x,exact
basic,3,10,180.03846172862112,180x,exact
basic,4,1,0.8017002521979831,0.8x,exact
basic,4,2,3.848408687068742,3.8x,exact
basic,4,3,16.069286872317534,16.1x,exact
basic,4,5,93.07510313710416,93.1x,exact
basic,4,10,300.67682021687955,301x,exact
collections,1,1,0.8084563129331795,0.81x,exact
collections,1,2,1.1166551319044422,1.1x,exact
collections,1,3,1.653438008796785,1.7x,exact
collections,1,5,3.312018646554999,3.3x,exact
collections,1,10,7.667599411303905,7.7x,exact
collections,2,1,0.8003235263741159,0.8x,exact
collections,2,2,1.6246076493838648,1.6x,exact
collections,2,3,3.1027361317920232,3.1x,exact
collections,2,5,8.945929830966513,8.9x,exact
collections,2,10,43.790029133281735,43.8x,exact
collections,3,1,0.8097373248914076,0.81x,exact
collections,3,2,2.3418022115340396,2.3x,exact
collections,3,3,6.767408876886648,6.8x,exact
collections,3,5,32.44623570451298,32.4x,exact
collections,3,10,204.55356512680842,205x,exact
collections,4,1,0.8076377658090964,0.81x,exact
collections,4,2,3.843016535637766,3.8x,exact
collections,4,3,17.122472229955477,17.1x,exact
collections,4,5,99.89523953014103,99.9x,exact
collections,4,10,372.1438997831602,372x,exact
cornerCases,1,1,0.808875865735127,0.81x,exact
cornerCases,1,2,1.1314648381912622,1.1x,exact
cornerCases,1,3,1.5211596017173428,1.5x,exact
cornerCases,1,5,2.8943167646320993,2.9x,exact
cornerCases,1,10,6.737039315116212,6.7x,exact
cornerCases,2,1,0.8078309750413434,0.81x,exact
cornerCases,2,2,1.6265824550540924,1.6x,exact
cornerCases,2,3,2.8707267362351856,2.9x,exact
cornerCases,2,5,7.987963936109755,8x,exact
cornerCases,2,10,38.98245425441995,39.0x,exact
cornerCases,3,1,0.8058692220186707,0.81x,exact
cornerCases,3,2,2.3703275971474467,2.4x,exact
cornerCases,3,3,6.577548899619249,6.6x,exact
cornerCases,3,5,28.78263639506742,28.8x,exact
cornerCases,3,10,163.76060246506037,164x,exact
cornerCases,4,1,0.7949024137617893,0.79x,exact
cornerCases,4,2,3.802261044400519,3.8x,exact
cornerCases,4,3,15.827614278688236,15.8x,exact
cornerCases,4,5,85.53413969837862,85.5x,exact
cornerCases,4,10,253.72878500677564,254x,exact
generalJava,1,1,0.8083288474431318,0.81x,exact
generalJava,1,2,1.1222695612488756,1.1x,exact
generalJava,1,3,1.645992193417505,1.6x,exact
generalJava,1,5,3.1037123598210536,3.1x,exact
generalJava,1,10,6.971787182431635,7x,exact
generalJava,2,1,0.8042916317320808,0.8x,exact
generalJava,2,2,1.6380897992360244,1.6x,exact
generalJava,2,3,3.1054637016344486,3.1x,exact
generalJava,2,5,8.609030952657776,8.6x,exact
generalJava,2,10,41.507496904030695,41.5x,exact
generalJava,3,1,0.8172118363737414,0.82x,exact
generalJava,3,2,2.3773690866398196,2.4x,exact
generalJava,3,3,6.904291354738978,6.9x,exact
generalJava,3,5,31.498855513351984,31.5x,exact
generalJava,3,10,193.24211633220142,193x,exact
generalJava,4,1,0.8166126648420494,0.82x,exact
generalJava,4,2,3.854310075107601,3.9x,exact
generalJava,4,3,17.070913939732588,17.1x,exact
generalJava,4,5,97.24517958068829,97.2x,exact
generalJava,4,10,355.4915616042714,355x,exact
reactor,1,1,0.8693597389445257,0.87x,exact
reactor,1,2,1.0614072324856625,1.1x,exact
reactor,1,3,1.4528260320185094,1.5x,exact
reactor,1,5,2.090408644436478,2.1x,exact
reactor,1,10,4.016283286564074,4x,exact
reactor,2,1,0.8763665266092333,0.88x,exact
reactor,2,2,1.318407292339135,1.3x,exact
reactor,2,3,2.0843214278748587,2.1x,exact
reactor,2,5,3.963053229452344,4x,exact
reactor,2,10,7.363096197764816,7.4x,exact
reactor,3,1,0.8949531916170183,0.89x,exact
reactor,3,2,1.8374201983290968,1.8x,exact
reactor,3,3,3.647794329521417,3.6x,exact
reactor,3,5,7.753765051480209,7.8x,exact
reactor,3,10,14.135297607327875,14.1x,exact
reactor,4,1,0.8773875473101624,0.88x,exact
reactor,4,2,2.944320378547478,2.9x,exact
reactor,4,3,5.321120301031875,5.3x,exact
reactor,4,5,8.494318200678014,8.5x,exact
reactor,4,10,6.490877919817701,6.5x+,lower_bound
org_jivesoftware_openfire,1,1,0.9373315233549049,0.94x,exact
org_jivesoftware_openfire,1,2,1.1030063759010218,1.1x,exact
org_jivesoftware_openfire,1,3,1.3538956522066015,1.4x,exact
org_jivesoftware_openfire,1,5,1.5442696567617713,1.5x,exact
org_jivesoftware_openfire,1,10,1.9691309634262384,2x,exact
org_jivesoftware_openfire,2,1,0.9213338511210666,0.92x,exact
org_jivesoftware_openfire,2,2,1.2407856641030819,1.2x,exact
org_jivesoftware_openfire,2,3,1.3953435752363506,1.4x,exact
org_jivesoftware_openfire,2,5,2.1183388923375492,2.1x,exact
org_jivesoftware_openfire,2,10,3.3159679016177384,3.3x,exact
org_jivesoftware_openfire,3,1,0.9573732644761163,0.96x,exact
org_jivesoftware_openfire,3,2,1.2031465382031168,1.2x,exact
org_jivesoftware_openfire,3,3,1.8395877234607212,1.8x,exact
org_jivesoftware_openfire,3,5,3.0633708699094844,3.1x,exact
org_jivesoftware_openfire,3,10,6.969104054470518,7x+,lower_bound
org_jivesoftware_openfire,4,1,0.9457142969586814,0.95x,exact
org_jivesoftware_openfire,4,2,1.5677631710284996,1.6x,exact
org_jivesoftware_openfire,4,3,2.0939745483049705,2.1x,exact
org_jivesoftware_openfire,4,5,3.970387489537663,4x,exact
org_jivesoftware_openfire,4,10,,-,one_oom
com_fasterxml_jackson,1,1,0.9600453993748561,0.96x,exact
com_fasterxml_jackson,1,2,0.9971932355264099,1x,exact
com_fasterxml_jackson,1,3,1.0976454872306933,1.1x,exact
com_fasterxml_jackson,1,5,1.1547044180728303,1.2x,exact
com_fasterxml_jackson,1,10,1.5167742224991505,1.5x,exact
com_fasterxml_jackson,2,1,0.96015285775351,0.96x,exact
com_fasterxml_jackson,2,2,0.9768235043680746,0.98x,exact
com_fasterxml_jackson,2,3,1.0595375530988735,1.1x,exact
com_fasterxml_jackson,2,5,1.212260852925437,1.2x,exact
com_fasterxml_jackson,2,10,1.842842815157951,1.8x,exact
com_fasterxml_jackson,3,1,0.954677042839961,0.95x,exact
com_fasterxml_jackson,3,2,1.0412031156169907,1x,exact
com_fasterxml_jackson,3,3,1.1258830529506578,1.1x,exact
com_fasterxml_jackson,3,5,1.518920184523006,1.5x,exact
com_fasterxml_jackson,3,10,,OOT,oot
com_fasterxml_jackson,4,1,0.9645123305360868,0.96x,exact
com_fasterxml_jackson,4,2,1.070364375426108,1.1x,exact
com_fasterxml_jackson,4,3,1.325828495125329,1.3x,exact
com_fasterxml_jackson,4,5,,OOT,oot
com_fasterxml_jackson,4,10,,-,one_oom
org_apache_jackrabbit,1,1,0.9312250647635111,0.93x,exact
org_apache_jackrabbit,1,2,1.0219905942894174,1x,exact
org_apache_jackrabbit,1,3,1.1669524300372676,1.2x,exact
org_apache_jackrabbit,1,5,1.2298949387446778,1.2x,exact
org_apache_jackrabbit,1,10,1.5492825308631952,1.5x,exact
org_apache_jackrabbit,2,1,0.9226641915758442,0.92x,exact
org_apache_jackrabbit,2,2,1.027189595135159,1x,exact
org_apache_jackrabbit,2,3,1.2114914047681367,1.2x,exact
org_apache_jackrabbit,2,5,1.476731016827256,1.5x,exact
org_apache_jackrabbit,2,10,1.3688945281987908,1.4x,exact
org_apache_jackrabbit,3,1,0.9392565468667227,0.94x,exact
org_apache_jackrabbit,3,2,1.1466796570232438,1.1x,exact
org_apache_jackrabbit,3,3,1.3717859855233057,1.4x,exact
org_apache_jackrabbit,3,5,1.1726425769948343,1.2x+,lower_bound
org_apache_jackrabbit,3,10,,-,one_oom
org_apache_jackrabbit,4,1,0.9411012585155367,0.94x,exact
org_apache_jackrabbit,4,2,1.2447296829919006,1.2x,exact
org_apache_jackrabbit,4,3,1.2433920635194922,1.2x,exact
org_apache_jackrabbit,4,5,,-,one_oom
org_apache_jackrabbit,4,10,,-,one_oom
