bench,depth,contexts,total_contexts,time_sec,time_cell,ram_kb_last2_mean,memory_cell
basic,1,1,1,0.10395900408426913,104ms,221870.0,217MiB
basic,1,2,2,0.12781524658203125,128ms,221772.0,217MiB
basic,2,1,2,0.1320478916168212,132ms,221984.0,217MiB
basic,1,3,3,0.12973054250081376,130ms,221812.0,217MiB
basic,3,1,3,0.15459624926249185,155ms,221550.0,216MiB
basic,4,1,4,0.17826390266418454,178ms,216360.0,211MiB
basic,1,5,5,0.13102149963378903,131ms,221982.0,217MiB
basic,2,2,6,0.1756197611490885,176ms,222340.0,217MiB
basic,1,10,10,0.13469282786051426,135ms,221584.0,216MiB
basic,2,3,12,0.17876474062601722,179ms,221880.0,217MiB
basic,3,2,14,0.21234639485677076,212ms,221988.0,217MiB
basic,2,5,30,0.1836009820302327,184ms,222008.0,217MiB
basic,4,2,30,0.2501504421234131,250ms,217676.0,213MiB
basic,3,3,39,0.2268195947011311,227ms,222042.0,217MiB
basic,2,10,110,0.2039093971252441,204ms,223026.0,218MiB
basic,4,3,120,0.2710297107696533,271ms,219158.0,214MiB
basic,3,5,155,0.24697677294413245,247ms,224550.0,219MiB
basic,4,5,780,0.41288288434346515,413ms,231320.0,226MiB
basic,3,10,1110,0.46614956855773926,466ms,243584.0,238MiB
basic,4,10,11110,2.8069209257761636,2.8s,441226.0,431MiB
collections,1,1,1,0.09004648526509597,90ms,221964.0,217MiB
collections,1,2,2,0.1119601726531982,112ms,221474.0,216MiB
collections,2,1,2,0.12542668978373206,125ms,221850.0,217MiB
collections,1,3,3,0.11314566930135088,113ms,221638.0,216MiB
collections,3,1,3,0.14633226394653318,146ms,221688.0,216MiB
collections,4,1,4,0.16840688387552893,168ms,217962.0,213MiB
collections,1,5,5,0.11340506871541339,113ms,221368.0,216MiB
collections,2,2,6,0.1640701293945312,164ms,221788.0,217MiB
collections,1,10,10,0.11545038223266597,115ms,221522.0,216MiB
collections,2,3,12,0.16780281066894523,168ms,221750.0,217MiB
collections,3,2,14,0.20046329498291016,200ms,221622.0,216MiB
collections,2,5,30,0.17327292760213212,173ms,221778.0,217MiB
collections,4,2,30,0.23631389935811353,236ms,217566.0,212MiB
collections,3,3,39,0.21024004618326822,210ms,221950.0,217MiB
collections,2,10,110,0.18961675961812333,190ms,222528.0,217MiB
collections,4,3,120,0.25377901395161945,254ms,218196.0,213MiB
collections,3,5,155,0.22647881507873532,226ms,223362.0,218MiB
collections,4,5,780,0.36923686663309735,369ms,225612.0,220MiB
collections,3,10,1110,0.4022075335184733,402ms,233908.0,228MiB
collections,4,10,11110,2.2380618254343667,2.2s,341638.0,334MiB
cornerCases,1,1,1,0.10479903221130366,105ms,222020.0,217MiB
cornerCases,1,2,2,0.13040359814961747,130ms,221790.0,217MiB
cornerCases,2,1,2,0.13340441385904941,133ms,221202.0,216MiB
cornerCases,1,3,3,0.13077775637308756,131ms,221760.0,217MiB
cornerCases,3,1,3,0.15565204620361325,156ms,221906.0,217MiB
cornerCases,4,1,4,0.1811560789744059,181ms,217364.0,212MiB
cornerCases,1,5,5,0.13242038091023758,132ms,221700.0,217MiB
cornerCases,2,2,6,0.176615556081136,177ms,221786.0,217MiB
cornerCases,1,10,10,0.1364426612854003,136ms,221662.0,216MiB
cornerCases,2,3,12,0.1839288870493571,184ms,221700.0,217MiB
cornerCases,3,2,14,0.21428990364074704,214ms,221876.0,217MiB
cornerCases,2,5,30,0.1883607705434163,188ms,222258.0,217MiB
cornerCases,4,2,30,0.25526420275370276,255ms,217708.0,213MiB
cornerCases,3,3,39,0.22461009025573728,225ms,222588.0,217MiB
cornerCases,2,10,110,0.21587435404459632,216ms,224214.0,219MiB
cornerCases,4,3,120,0.28261764844258624,283ms,221304.0,216MiB
cornerCases,3,5,155,0.2585947513580322,259ms,226772.0,221MiB
cornerCases,4,5,780,0.4469293753306071,447ms,244816.0,239MiB
cornerCases,3,10,1110,0.5134627024332682,513ms,264208.0,258MiB
cornerCases,4,10,11110,3.3224236170450845,3.3s,538874.0,526MiB
generalJava,1,1,1,0.08902382850646966,89ms,221802.0,217MiB
generalJava,1,2,2,0.10901021957397457,109ms,221668.0,216MiB
generalJava,2,1,2,0.12094910939534499,121ms,221460.0,216MiB
generalJava,1,3,3,0.11090350151062006,111ms,221470.0,216MiB
generalJava,3,1,3,0.1402830282847086,140ms,221692.0,216MiB
generalJava,4,1,4,0.1610987981160482,161ms,217218.0,212MiB
generalJava,1,5,5,0.1109215418497721,111ms,221542.0,216MiB
generalJava,2,2,6,0.15878423055013013,159ms,222234.0,217MiB
generalJava,1,10,10,0.11578329404195142,116ms,221766.0,217MiB
generalJava,2,3,12,0.16295735041300452,163ms,221434.0,216MiB
generalJava,3,2,14,0.1921753883361816,192ms,221432.0,216MiB
generalJava,2,5,30,0.16952069600423172,170ms,221706.0,217MiB
generalJava,4,2,30,0.22632129987080893,226ms,217606.0,213MiB
generalJava,3,3,39,0.1994713147481282,199ms,222080.0,217MiB
generalJava,2,10,110,0.18681184450785318,187ms,223976.0,219MiB
generalJava,4,3,120,0.24349776903788242,243ms,218754.0,214MiB
generalJava,3,5,155,0.21977678934733072,220ms,223570.0,218MiB
generalJava,4,5,780,0.35887447992960614,359ms,227384.0,222MiB
generalJava,3,10,1110,0.40055394172668457,401ms,236070.0,231MiB
generalJava,4,10,11110,2.1780974864959717,2.2s,370364.0,362MiB
reactor,1,1,1,0.4788546562194824,479ms,240340.0,235MiB
reactor,1,2,2,0.6226728757222494,623ms,242566.0,237MiB
reactor,2,1,2,0.5837346712748209,584ms,240338.0,235MiB
reactor,1,3,3,0.652224063873291,652ms,245550.0,240MiB
reactor,3,1,3,0.7523611386617025,752ms,240750.0,235MiB
reactor,4,1,4,1.04573392868042,1s,236996.0,231MiB
reactor,1,5,5,0.7524129549662272,752ms,252698.0,247MiB
reactor,2,2,6,1.1349050998687744,1.1s,249308.0,243MiB
reactor,1,10,10,0.936770518620809,937ms,266718.0,260MiB
reactor,2,3,12,1.0634979406992595,1.1s,265158.0,259MiB
reactor,3,2,14,1.5180815855662029,1.5s,263206.0,257MiB
reactor,2,5,30,1.5193850199381511,1.5s,310464.0,303MiB
reactor,4,2,30,2.2697877089182534,2.3s,283474.0,277MiB
reactor,3,3,39,1.888710021972656,1.9s,319440.0,312MiB
reactor,2,10,110,4.19338043530782,4.2s,514636.0,503MiB
reactor,4,3,120,3.679209073384603,3.7s,464658.0,454MiB
reactor,3,5,155,4.262494405110677,4.3s,576380.0,563MiB
