bench,depth,contexts,time_sec,cell
basic,1,1,0.10395900408426913,104ms
basic,1,2,0.12781524658203125,128ms
basic,1,3,0.12973054250081376,130ms
basic,1,5,0.13102149963378903,131ms
basic,1,10,0.13469282786051426,135ms
basic,2,1,0.1320478916168212,132ms
basic,2,2,0.1756197611490885,176ms
basic,2,3,0.17876474062601722,179ms
basic,2,5,0.1836009820302327,184ms
basic,2,10,0.2039093971252441,204ms
basic,3,1,0.15459624926249185,155ms
basic,3,2,0.21234639485677076,212ms
basic,3,3,0.2268195947011311,227ms
basic,3,5,0.24697677294413245,247ms
basic,3,10,0.46614956855773926,466ms
basic,4,1,0.17826390266418454,178ms
basic,4,2,0.2501504421234131,250ms
basic,4,3,0.2710297107696533,271ms
basic,4,5,0.41288288434346515,413ms
basic,4,10,2.8069209257761636,2.8s
collections,1,1,0.09004648526509597,90ms
collections,1,2,0.1119601726531982,112ms
collections,1,3,0.11314566930135088,113ms
collections,1,5,0.11340506871541339,113ms
collections,1,10,0.11545038223266597,115ms
collections,2,1,0.12542668978373206,125ms
collections,2,2,0.1640701293945312,164ms
collections,2,3,0.16780281066894523,168ms
collections,2,5,0.17327292760213212,173ms
collections,2,10,0.18961675961812333,190ms
collections,3,1,0.14633226394653318,146ms
collections,3,2,0.20046329498291016,200ms
collections,3,3,0.21024004618326822,210ms
collections,3,5,0.22647881507873532,226ms
collections,3,10,0.4022075335184733,402ms
collections,4,1,0.16840688387552893,168ms
collections,4,2,0.23631389935811353,236ms
collections,4,3,0.25377901395161945,254ms
collections,4,5,0.36923686663309735,369ms
collections,4,10,2.2380618254343667,2.2s
cornerCases,1,1,0.10479903221130366,105ms
cornerCases,1,2,0.13040359814961747,130ms
cornerCases,1,3,0.13077775637308756,131ms
cornerCases,1,5,0.13242038091023758,132ms
cornerCases,1,10,0.1364426612854003,136ms
cornerCases,2,1,0.13340441385904941,133ms
cornerCases,2,2,0.176615556081136,177ms
cornerCases,2,3,0.1839288870493571,184ms
cornerCases,2,5,0.1883607705434163,188ms
cornerCases,2,10,0.21587435404459632,216ms
cornerCases,3,1,0.15565204620361325,156ms
