bench,depth,contexts,ram_kb_last2_mean,cell
basic,1,1,217594.0,212MiB
basic,1,2,217718.0,213MiB
basic,1,3,217706.0,213MiB
basic,1,5,217446.0,212MiB
basic,1,10,218964.0,214MiB
basic,2,1,217118.0,212MiB
basic,2,2,217408.0,212MiB
basic,2,3,218206.0,213MiB
basic,2,5,220358.0,215MiB
basic,2,10,233050.0,228MiB
basic,3,1,217450.0,212MiB
basic,3,2,218362.0,213MiB
basic,3,3,220704.0,216MiB
basic,3,5,235146.0,230MiB
basic,3,10,386218.0,377MiB
basic,4,1,217596.0,212MiB
basic,4,2,219968.0,215MiB
basic,4,3,228872.0,224MiB
basic,4,5,310508.0,303MiB
basic,4,10,1913030.0,1.8GiB
collections,1,1,217824.0,213MiB
collections,1,2,217322.0,212MiB
collections,1,3,217712.0,213MiB
collections,1,5,217734.0,213MiB
collections,1,10,218706.0,214MiB
collections,2,1,217718.0,213MiB
collections,2,2,217430.0,212MiB
collections,2,3,217982.0,213MiB
collections,2,5,220490.0,215MiB
collections,2,10,232002.0,227MiB
collections,3,1,217062.0,212MiB
collections,3,2,218096.0,213MiB
collections,3,3,220384.0,215MiB
collections,3,5,234004.0,229MiB
collections,3,10,376846.0,368MiB
collections,4,1,217182.0,212MiB
collections,4,2,219852.0,215MiB
collections,4,3,227758.0,222MiB
collections,4,5,303556.0,296MiB
collections,4,10,1815322.0,1.7GiB
cornerCases,1,1,217548.0,212MiB
cornerCases,1,2,217328.0,212MiB
cornerCases,1,3,217664.0,213MiB
cornerCases,1,5,217458.0,212MiB
cornerCases,1,10,219370.0,214MiB
cornerCases,2,1,217676.0,213MiB
cornerCases,2,2,217524.0,212MiB
cornerCases,2,3,217842.0,213MiB
cornerCases,2,5,221218.0,216MiB
cornerCases,2,10,233230.0,228MiB
cornerCases,3,1,217542.0,212MiB
cornerCases,3,2,218476.0,213MiB
cornerCases,3,3,221560.0,216MiB
cornerCases,3,5,235622.0,230MiB
cornerCases,3,10,391432.0,382MiB
cornerCases,4,1,218008.0,213MiB
cornerCases,4,2,219966.0,215MiB
cornerCases,4,3,229286.0,224MiB
cornerCases,4,5,314354.0,307MiB
cornerCases,4,10,1961916.0,1.9GiB
generalJava,1,1,217226.0,212MiB
generalJava,1,2,217662.0,213MiB
generalJava,1,3,217844.0,213MiB
generalJava,1,5,217906.0,213MiB
generalJava,1,10,218638.0,214MiB
generalJava,2,1,217492.0,212MiB
generalJava,2,2,217908.0,213MiB
generalJava,2,3,217714.0,213MiB
generalJava,2,5,220256.0,215MiB
generalJava,2,10,232582.0,227MiB
generalJava,3,1,217578.0,212MiB
generalJava,3,2,218496.0,213MiB
generalJava,3,3,220670.0,215MiB
generalJava,3,5,234148.0,229MiB
generalJava,3,10,379964.0,371MiB
generalJava,4,1,217710.0,213MiB
generalJava,4,2,219944.0,215MiB
generalJava,4,3,228412.0,223MiB
generalJava,4,5,306040.0,299MiB
generalJava,4,10,1845746.0,1.8GiB
reactor,1,1,234266.0,229MiB
reactor,1,2,237548.0,232MiB
reactor,1,3,240078.0,234MiB
reactor,1,5,246544.0,241MiB
reactor,1,10,259554.0,253MiB
reactor,2,1,234672.0,229MiB
reactor,2,2,243370.0,238MiB
reactor,2,3,256114.0,250MiB
reactor,2,5,295834.0,289MiB
reactor,2,10,472744.0,462MiB
reactor,3,1,235284.0,230MiB
reactor,3,2,255154.0,249MiB
reactor,3,3,304232.0,297MiB
reactor,3,5,538718.0,526MiB
reactor,3,10,2607286.0,2.5GiB
reactor,4,1,236056.0,231MiB
reactor,4,2,277184.0,271MiB
reactor,4,3,443254.0,433MiB
reactor,4,5,1744364.0,1.7GiB
reactor,4,10,,OOT
org_jivesoftware_openfire,1,1,397396.0,388MiB
org_jivesoftware_openfire,1,2,425194.0,415MiB
org_jivesoftware_openfire,1,3,451402.0,441MiB
org_jivesoftware_openfire,1,5,510478.0,499MiB
org_jivesoftware_openfire,1,10,625866.0,611MiB
org_jivesoftware_openfire,2,1,409890.0,400MiB
org_jivesoftware_openfire,2,2,470836.0,460MiB
org_jivesoftware_openfire,2,3,570770.0,557MiB
org_jivesoftware_openfire,2,5,876052.0,856MiB
org_jivesoftware_openfire,2,10,2252522.0,2.1GiB
org_jivesoftware_openfire,3,1,408966.0,399MiB
org_jivesoftware_openfire,3,2,566366.0,553MiB
org_jivesoftware_openfire,3,3,927714.0,906MiB
org_jivesoftware_openfire,3,5,2774414.0,2.6GiB
org_jivesoftware_openfire,3,10,,OOT
org_jivesoftware_openfire,4,1,409190.0,400MiB
org_jivesoftware_openfire,4,2,737436.0,720MiB
org_jivesoftware_openfire,4,3,2002740.0,1.9GiB
org_jivesoftware_openfire,4,5,12402680.0,12GiB
org_jivesoftware_openfire,4,10,,OOT
com_fasterxml_jackson,1,1,930470.0,909MiB
com_fasterxml_jackson,1,2,1020428.0,997MiB
com_fasterxml_jackson,1,3,1097272.0,1.0GiB
com_fasterxml_jackson,1,5,1378148.0,1.3GiB
com_fasterxml_jackson,1,10,1845726.0,1.8GiB
com_fasterxml_jackson,2,1,1023026.0,999MiB
com_fasterxml_jackson,2,2,1347418.0,1.3GiB
com_fasterxml_jackson,2,3,1944532.0,1.9GiB
com_fasterxml_jackson,2,5,3653308.0,3.5GiB
com_fasterxml_jackson,2,10,11437640.0,11GiB
com_fasterxml_jackson,3,1,1051532.0,1.0GiB
com_fasterxml_jackson,3,2,2069484.0,2.0GiB
com_fasterxml_jackson,3,3,4299494.0,4.1GiB
com_fasterxml_jackson,3,5,15269310.0,15GiB
