bench,depth,contexts,nvals,cell
basic,1,1,118.0,118
basic,1,2,118.0,118
basic,1,3,118.0,118
basic,1,5,118.0,118
basic,1,10,118.0,118
basic,2,1,84.0,84
basic,2,2,84.0,84
basic,2,3,84.0,84
basic,2,5,84.0,84
basic,2,10,84.0,84
basic,3,1,84.0,84
basic,3,2,84.0,84
basic,3,3,84.0,84
basic,3,5,84.0,84
basic,3,10,84.0,84
basic,4,1,84.0,84
basic,4,2,84.0,84
basic,4,3,84.0,84
basic,4,5,84.0,84
basic,4,10,84.0,84
collections,1,1,67.0,67
collections,1,2,67.0,67
collections,1,3,67.0,67
collections,1,5,67.0,67
collections,1,10,67.0,67
collections,2,1,52.0,52
collections,2,2,52.0,52
collections,2,3,52.0,52
collections,2,5,52.0,52
collections,2,10,52.0,52
collections,3,1,52.0,52
collections,3,2,52.0,52
collections,3,3,52.0,52
collections,3,5,52.0,52
collections,3,10,52.0,52
collections,4,1,52.0,52
collections,4,2,52.0,52
collections,4,3,52.0,52
collections,4,5,52.0,52
collections,4,10,52.0,52
cornerCases,1,1,157.0,157
cornerCases,1,2,157.0,157
cornerCases,1,3,157.0,157
cornerCases,1,5,157.0,157
cornerCases,1,10,157.0,157
cornerCases,2,1,104.0,104
cornerCases,2,2,104.0,104
cornerCases,2,3,104.0,104
cornerCases,2,5,104.0,104
cornerCases,2,10,104.0,104
cornerCases,3,1,97.0,97
cornerCases,3,2,97.0,97
cornerCases,3,3,97.0,97
cornerCases,3,5,97.0,97
cornerCases,3,10,97.0,97
cornerCases,4,1,96.0,96
cornerCases,4,2,96.0,96
cornerCases,4,3,96.0,96
cornerCases,4,5,96.0,96
cornerCases,4,10,96.0,96
generalJava,1,1,92.0,92
generalJava,1,2,92.0,92
generalJava,1,3,92.0,92
generalJava,1,5,92.0,92
generalJava,1,10,92.0,92
generalJava,2,1,66.0,66
generalJava,2,2,66.0,66
generalJava,2,3,66.0,66
generalJava,2,5,66.0,66
generalJava,2,10,66.0,66
generalJava,3,1,65.0,65
generalJava,3,2,65.0,65
generalJava,3,3,65.0,65
generalJava,3,5,65.0,65
generalJava,3,10,65.0,65
generalJava,4,1,65.0,65
generalJava,4,2,65.0,65
generalJava,4,3,65.0,65
generalJava,4,5,65.0,65
generalJava,4,10,65.0,65
reactor,1,1,13583.0,14k
reactor,1,2,13009.0,13k
reactor,1,3,12815.0,13k
reactor,1,5,12654.0,13k
reactor,1,10,12573.0,13k
reactor,2,1,12275.0,12k
reactor,2,2,11369.0,11k
reactor,2,3,9454.0,9.5k
reactor,2,5,9166.0,9.2k
reactor,2,10,9064.0,9.1k
