bench,depth,contexts,total_contexts,fields,context_field_ratio,speedup_not_grouped_over_grouped,bound,grouped_status,not_grouped_status
org_apache_jackrabbit,1,1,1,7714,0.00012963443090484831,0.9312250647635111,exact,OK,OK
org_jivesoftware_openfire,1,1,1,5270,0.00018975332068311195,0.9373315233549049,exact,OK,OK
org_apache_jackrabbit,2,1,2,7714,0.00025926886180969663,0.9226641915758442,exact,OK,OK
org_apache_jackrabbit,1,2,2,7714,0.00025926886180969663,1.0219905942894174,exact,OK,OK
com_fasterxml_jackson,1,1,1,2870,0.0003484320557491289,0.9600453993748561,exact,OK,OK
org_jivesoftware_openfire,2,1,2,5270,0.0003795066413662239,0.9213338511210666,exact,OK,OK
org_jivesoftware_openfire,1,2,2,5270,0.0003795066413662239,1.1030063759010218,exact,OK,OK
org_apache_jackrabbit,3,1,3,7714,0.000388903292714545,0.9392565468667227,exact,OK,OK
org_apache_jackrabbit,1,3,3,7714,0.000388903292714545,1.1669524300372676,exact,OK,OK
org_apache_jackrabbit,4,1,4,7714,0.0005185377236193933,0.9411012585155367,exact,OK,OK
org_jivesoftware_openfire,3,1,3,5270,0.0005692599620493358,0.9573732644761163,exact,OK,OK
org_jivesoftware_openfire,1,3,3,5270,0.0005692599620493358,1.3538956522066015,exact,OK,OK
org_apache_jackrabbit,1,5,5,7714,0.0006481721545242416,1.2298949387446778,exact,OK,OK
com_fasterxml_jackson,2,1,2,2870,0.0006968641114982578,0.96015285775351,exact,OK,OK
com_fasterxml_jackson,1,2,2,2870,0.0006968641114982578,0.9971932355264099,exact,OK,OK
org_jivesoftware_openfire,4,1,4,5270,0.0007590132827324478,0.9457142969586814,exact,OK,OK
org_apache_jackrabbit,2,2,6,7714,0.00077780658542909,1.027189595135159,exact,OK,OK
org_jivesoftware_openfire,1,5,5,5270,0.0009487666034155598,1.5442696567617713,exact,OK,OK
com_fasterxml_jackson,3,1,3,2870,0.0010452961672473868,0.954677042839961,exact,OK,OK
com_fasterxml_jackson,1,3,3,2870,0.0010452961672473868,1.0976454872306933,exact,OK,OK
org_jivesoftware_openfire,2,2,6,5270,0.0011385199240986717,1.2407856641030819,exact,OK,OK
org_apache_jackrabbit,1,10,10,7714,0.0012963443090484833,1.5492825308631952,exact,OK,OK
com_fasterxml_jackson,4,1,4,2870,0.0013937282229965157,0.9645123305360868,exact,OK,OK
org_apache_jackrabbit,2,3,12,7714,0.00155561317085818,1.2114914047681367,exact,OK,OK
